ACCIDENT_YEAR,COLLISION_DATE,COLLISION_TIME,MONTH,SEASON,24HOURS,DAY_OF_WEEK,INTERSECTION,WEATHER_1,STATE_HWY_IND,ROAD_SURFACE,ROAD_COND_1,LIGHTING,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,DIRECTION,PCF_VIOL_CATEGORY,TYPE_OF_COLLISION,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,MVIW,TOW_AWAY,HIT_AND_RUN,CONTROL_DEVICE,NUMBER_INJURED,COUNT_PED_INJURED,COUNT_BICYCLIST_INJURED,COUNT_MC_INJURED,PCF_VIOLATION,PARTY_COUNT,POINT_Y,POINT_X,COLLISION_SEVERITY
2011,2011/1/17,845,1,4,8,1,N,A,Y,C,H,A,D,22,E,17,E,,,,,J,Y,N,A,1,0,0,0,21662,1,38.77702775,-119.8834837,2
2011,2011/1/15,815,1,4,8,6,N,A,Y,C,H,A,D,22,E,3,E,,,,,I,Y,N,D,4,0,0,0,22350,1,38.69435444,-119.9964474,3
2011,2011/2/5,1430,2,4,14,6,N,A,N,A,H,A,A,1,E,9,F,,,Y,,A,N,N,D,1,0,0,1,21801,2,38.78734,-119.81536,3
2011,2011/2/1,950,2,4,9,2,N,A,Y,C,H,A,D,23,E,17,D,,,,,C,Y,N,D,1,0,0,0,21662,2,38.70046368,-120.0216731,4
2011,2011/2/1,1430,2,4,14,2,N,A,Y,C,H,A,D,22,E,17,E,,,,,J,Y,N,D,1,0,0,0,21662,1,38.70017677,-120.0313567,3
2011,2011/2/19,1730,2,4,17,6,N,A,Y,C,H,D,A,1,E,17,A,,,,,A,Y,N,D,2,0,0,0,21662,2,38.70624524,-120.0409429,3
2011,2011/3/26,1145,3,1,11,6,N,D,Y,C,H,A,D,22,E,3,G,Y,,,,B,N,N,A,1,1,0,0,22350,3,38.698346,-120.0116559,4
2011,2011/3/3,1400,3,1,14,4,N,A,Y,A,H,A,A,1,N,8,F,,,,,A,Y,N,D,1,0,0,0,22107,1,38.67357903,-119.7338087,4
2011,2011/5/5,2335,5,1,23,4,N,A,N,A,H,D,A,7,S,3,E,,,,,I,Y,M,D,1,0,0,0,22350,3,38.68701743,-119.8016643,2
2011,2011/5/18,2245,5,1,22,3,N,B,Y,B,H,D,A,7,W,1,F,,,,,A,Y,N,D,1,0,0,0,23152,1,38.76436511,-119.8606031,3
2011,2011/5/13,615,5,1,6,5,N,A,N,A,H,A,A,1,S,8,E,,,,,I,Y,N,D,1,0,0,0,22107,1,38.76809461,-119.8142492,3
2011,2011/5/17,800,5,1,8,2,N,B,Y,C,H,A,A,1,W,3,A,,,,Y,C,Y,N,D,1,0,0,0,22350,3,38.69590547,-120.0004869,4
2011,2011/6/29,2500,6,2,25,3,N,A,Y,A,H,A,C,2,N,17,F,,,Y,,A,Y,N,D,0,0,0,0,21652,1,38.66266733,-119.6877961,1
2011,2011/7/16,1559,7,2,15,6,N,A,Y,A,H,A,C,2,W,3,E,,,Y,,I,Y,N,D,0,0,0,0,22350,1,38.69934383,-120.0266793,1
2011,2011/5/24,1505,5,1,15,2,N,A,N,A,H,A,L,4,N,8,B,,Y,,,G,N,N,D,1,0,1,0,22107,2,38.83004379,-119.7878122,3
