ACCIDENT_YEAR,COLLISION_DATE,COLLISION_TIME,MONTH,SEASON,24HOURS,DAY_OF_WEEK,INTERSECTION,WEATHER_1,STATE_HWY_IND,ROAD_SURFACE,ROAD_COND_1,LIGHTING,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,DIRECTION,PCF_VIOL_CATEGORY,TYPE_OF_COLLISION,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,MVIW,TOW_AWAY,HIT_AND_RUN,CONTROL_DEVICE,NUMBER_INJURED,COUNT_PED_INJURED,COUNT_BICYCLIST_INJURED,COUNT_MC_INJURED,PCF_VIOLATION,PARTY_COUNT,POINT_Y,POINT_X,COLLISION_SEVERITY
2011,2011-05-18,1722,5,1,17,3,N,B,Y,B,H,A,F,26,N,09,B,,,,Y,C,N,N,D,1,0,0,0,21801.0,3,38.34555676,-120.77120349,4
2011,2011-01-04,1430,1,4,14,2,Y,A,Y,A,H,A,C,02,,03,C,,,Y,Y,C,Y,N,A,1,0,0,1,22350.0,2,38.39752128,-120.67787491,1
2011,2011-01-17,1015,1,4,10,1,N,E,N,B,H,A,D,22,W,09,A,,,Y,,C,Y,N,A,0,0,0,0,21803.0,2,38.48316707,-120.83656311,1
2011,2011-01-27,820,1,4,8,4,Y,A,Y,A,H,A,-,- ,,09,D,,,,,C,Y,N,A,1,0,0,0,21804.0,2,38.34764618,-120.7723166,4
2011,2011-01-31,1225,1,4,12,1,N,A,Y,A,H,A,A,01,E,08,E,,,,,I,Y,N,D,1,0,0,0,22107.0,1,38.3365268,-120.89749513,4
2011,2011-01-22,1225,1,4,12,6,N,A,N,A,H,A,C,02,E,05,A,,,Y,,C,Y,N,D,5,0,0,1,21650.0,2,38.5047819,-120.7636868,2
2011,2011-01-26,920,1,4,9,3,N,A,N,A,H,A,D,22,N,05,B,,,,,C,Y,N,D,1,0,0,0,21650.0,2,38.27513819,-120.88483248,4
2011,2011-01-14,2240,1,4,22,5,N,B,N,A,H,D,A,01,W,03,F,,,,,A,Y,N,D,1,0,0,0,22350.0,1,38.39266477,-120.84839344,3
2011,2011-01-20,900,1,4,9,4,N,A,N,A,H,A,A,07,N,05,E,,,,,I,Y,N,D,1,0,0,0,21650.0,1,38.39251271,-120.99722832,4
2011,2011-01-16,2215,1,4,22,7,Y,A,N,A,H,C,A,01,,09,D,,,,,C,Y,N,A,3,0,0,0,21802.0,2,38.400417,-120.7326015,4
2011,2011-01-13,1730,1,4,17,4,N,B,Y,A,H,D,A,01,E,03,C,,,,,C,N,N,A,1,0,0,0,22350.0,2,38.35977101,-120.8210807,4
2011,2011-02-06,1342,2,4,13,7,Y,A,N,A,H,A,F,26,,09,A,,,,Y,I,Y,N,A,1,0,0,0,21801.0,2,38.478186,-120.8478195,4
