ACCIDENT_YEAR,COLLISION_DATE,COLLISION_TIME,MONTH,SEASON,24HOURS,DAY_OF_WEEK,INTERSECTION,WEATHER_1,STATE_HWY_IND,ROAD_SURFACE,ROAD_COND_1,LIGHTING,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,DIRECTION,PCF_VIOL_CATEGORY,TYPE_OF_COLLISION,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,MVIW,TOW_AWAY,HIT_AND_RUN,CONTROL_DEVICE,NUMBER_INJURED,COUNT_PED_INJURED,COUNT_BICYCLIST_INJURED,COUNT_MC_INJURED,PCF_VIOLATION,PARTY_COUNT,POINT_Y,POINT_X,COLLISION_SEVERITY
2011,2011-05-25,950,5,1,9,3,N,C,N,B,H,A,D,22,W,03,C,,,,,C,N,N,D,3,0,0,0,22350.0,4,39.64188547,-121.65025088,4
2011,2011-05-23,650,5,1,6,1,N,B,N,B,D,A,A,01,N,08,E,,,,,I,N,N,D,1,0,0,0,22107.0,1,39.68209023,-121.57072127,4
2011,2011-05-30,2210,5,1,22,1,N,A,Y,A,H,D,D,22,S,08,E,,,,,I,Y,N,D,1,0,0,0,22107.0,1,39.75713707,-121.85016467,2
2011,2011-05-20,1250,5,1,12,5,Y,A,N,A,H,A,-,99,,08,C,,,,,C,N,M,D,1,0,0,0,22107.0,2,39.34845,-121.70413,4
2011,2011-05-17,1500,5,1,15,2,N,C,Y,B,H,A,D,22,W,01,-,,,,,I,Y,N,D,1,0,0,0,23152.0,3,39.5043523,-121.52255193,3
2011,2011-05-13,1730,5,1,17,5,N,A,N,A,H,A,-,- ,S,00,B,,,,,C,N,N,D,1,0,0,0,,2,39.45400837,-121.46470478,4
2011,2011-05-26,1438,5,1,14,4,N,A,N,A,H,A,A,01,W,03,C,,,,,C,N,N,A,1,0,0,0,22350.0,2,39.76103247,-121.8496331,4
2011,2011-05-19,1803,5,1,18,4,Y,A,N,A,H,A,A,07,,09,D,,,,,C,Y,N,B,7,0,0,0,21804.0,2,39.80046,-121.58085,2
2011,2011-05-08,1735,5,1,17,7,Y,A,N,A,H,A,-,- ,,01,C,,,,,C,Y,F,A,2,0,0,0,23153.0,2,39.74623,-121.85187,4
2011,2011-01-07,1322,1,4,13,5,N,B,N,A,H,A,C,06,S,09,B,,,Y,,C,N,N,D,1,0,0,1,21804.0,2,39.69301725,-121.90333332,1
2011,2011-03-03,113,3,1,1,4,N,A,Y,A,H,C,A,01,S,01,E,,,,,I,Y,N,A,1,0,0,0,23152.0,1,39.72518302,-121.83547903,1
2011,2011-01-09,1837,1,4,18,7,N,A,Y,A,H,D,A,01,S,06,B,,,,Y,C,Y,N,D,1,0,0,0,21751.0,3,39.4047262,-121.60485324,4
2011,2011-01-10,812,1,4,8,1,N,B,Y,C,H,B,A,07,N,08,B,,,,Y,C,Y,N,D,1,0,0,0,22107.0,3,39.51311763,-121.5721048,4
2011,2011-01-18,1226,1,4,12,2,N,A,Y,A,H,A,A,01,E,12,D,,,,Y,C,Y,N,A,1,0,0,0,21453.0,2,39.71074519,-121.79634331,4
2011,2011-01-24,2210,1,4,22,1,N,A,Y,A,H,D,A,01,S,07,B,,,,,C,Y,N,D,3,0,0,0,21658.0,2,39.53228499,-121.58021919,4
2011,2011-01-27,2315,1,4,23,4,N,E,N,A,H,D,A,01,N,03,E,,Y,,,I,Y,N,D,1,0,0,0,22350.0,2,39.39062114,-121.71610678,4
2011,2011-01-28,1700,1,4,17,5,N,E,Y,A,H,A,A,07,W,08,F,,,,,A,Y,N,D,1,0,0,0,22107.0,1,39.55517054,-121.59991263,3
2011,2011-01-25,1620,1,4,16,2,N,A,N,A,H,A,D,22,S,08,E,,,,,J,Y,N,D,1,0,0,0,22107.0,1,39.53096724,-121.46711002,3
2011,2011-02-02,705,2,4,7,3,N,A,N,A,H,A,A,01,N,05,E,,,,,I,Y,N,D,1,0,0,0,21650.0,1,39.30597155,-121.65991008,4
