ACCIDENT_YEAR,COLLISION_DATE,COLLISION_TIME,MONTH,SEASON,24HOURS,DAY_OF_WEEK,INTERSECTION,WEATHER_1,STATE_HWY_IND,ROAD_SURFACE,ROAD_COND_1,LIGHTING,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,DIRECTION,PCF_VIOL_CATEGORY,TYPE_OF_COLLISION,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,MVIW,TOW_AWAY,HIT_AND_RUN,CONTROL_DEVICE,NUMBER_INJURED,COUNT_PED_INJURED,COUNT_BICYCLIST_INJURED,COUNT_MC_INJURED,PCF_VIOLATION,PARTY_COUNT,POINT_Y,POINT_X,COLLISION_SEVERITY
2011,2011-07-11,2110,7,2,21,1,N,A,N,A,H,C,A,07,,01,E,,,,,I,Y,N,D,1,0,0,0,23152.0,1,37.91343793,-122.00238526,4
2011,2011-10-21,1450,10,3,14,5,Y,A,N,A,H,A,A,01,,- ,B,,Y,,,G,N,N,D,1,0,1,0,,2,37.9659077,-122.06848383,3
2011,2011-04-15,2052,4,1,20,5,N,A,Y,A,H,D,A,01,E,03,B,,,,,C,Y,N,D,2,0,0,0,22350.0,5,38.01836448,-121.98873744,3
2011,2011-05-12,720,5,1,7,4,N,A,Y,A,H,A,D,22,W,03,C,,,,,C,Y,N,D,1,0,0,0,22350.0,3,37.99670971,-121.78777428,3
2011,2011-05-14,2230,5,1,22,6,N,C,Y,B,H,C,A,07,N,03,B,,,,,C,Y,N,D,3,0,0,0,22350.0,3,37.92672647,-122.0606979,4
2011,2011-03-17,1445,3,1,14,4,N,A,N,A,H,A,A,07,N,05,B,,Y,,,G,N,N,D,1,0,1,0,21650.0,2,37.84165686,-121.93154454,3
2011,2011-03-24,915,3,1,9,4,N,C,N,B,H,A,A,01,W,03,E,,,,,I,Y,N,D,1,0,0,0,22350.0,1,37.89453659,-121.79644346,4
2011,2011-03-18,1200,3,1,12,5,N,C,N,B,H,A,A,01,S,03,F,,,,,A,Y,N,D,1,0,0,0,22350.0,1,37.98759527,-121.8975082,3
2011,2011-03-15,2330,3,1,23,2,Y,C,N,B,H,C,A,01,,01,D,,,,,C,Y,N,A,1,0,0,0,23152.0,2,37.97858,-122.02956,4
2011,2011-02-03,1845,2,4,18,4,Y,A,N,A,H,C,A,01,,01,A,,,,,C,Y,N,D,3,0,0,0,23152.0,2,38.0112,-121.99711,2
2011,2011-05-12,832,5,1,8,4,N,A,N,A,H,A,A,07,S,03,C,,,,,C,N,N,A,1,0,0,0,22350.0,2,37.77289569,-121.95819765,4
2011,2011-05-09,800,5,1,8,1,Y,A,N,A,H,A,N,60,,11,G,Y,,,,B,N,N,A,1,1,0,0,21456.0,2,37.76431782,-121.9539392,3
2011,2011-05-13,1451,5,1,14,5,Y,A,N,A,H,A,A,07,,03,C,,,,,C,N,N,A,1,0,0,0,22350.0,2,37.77596,-121.97828,4
2011,2011-04-17,1939,4,1,19,7,Y,A,N,A,H,A,-,- ,,05,E,,,,,I,Y,N,A,1,0,0,0,21650.0,1,37.96881,-121.67761,4
2011,2011-04-21,1524,4,1,15,4,N,A,N,A,H,A,-,- ,N,07,H,,Y,,,G,N,N,D,2,0,2,0,21658.0,3,37.87768946,-122.18234586,3
2011,2011-04-28,1525,4,1,15,4,N,A,N,A,H,A,-,- ,N,07,C,,,,,C,Y,N,D,2,0,0,0,21658.0,3,37.87861627,-122.18386865,4
2011,2011-05-04,1523,5,1,15,3,N,A,N,A,H,A,-,- ,N,07,F,,,,,C,Y,N,D,1,0,0,0,21658.0,3,37.87909868,-122.18469856,3
2011,2011-05-02,857,5,1,8,1,N,-,N,-,-,-,-,- ,S,03,C,,,,,C,Y,N,D,1,0,0,0,22350.0,3,37.89002648,-122.19717409,4
2011,2011-03-25,550,3,1,5,5,N,B,Y,B,H,C,A,01,E,03,E,,,,,I,Y,N,D,1,0,0,0,22350.0,1,37.88185136,-122.18080337,4
2011,2011-04-01,2220,4,1,22,5,N,A,Y,A,H,C,A,07,W,07,B,,,,,C,Y,M,D,1,0,0,0,21658.0,2,37.8959422,-122.07738568,4
2011,2011-03-25,10,3,1,0,5,N,C,Y,B,H,D,A,01,W,03,C,,,,,C,Y,N,D,1,0,0,0,22350.0,2,37.88902109,-122.17546984,4
2011,2011-04-04,743,4,1,7,1,N,A,Y,A,H,A,A,07,S,03,C,,,,,C,Y,N,D,1,0,0,0,22350.0,2,37.99436164,-122.03905513,4
2011,2011-03-24,1357,3,1,13,4,N,B,Y,B,H,A,A,01,W,03,E,,,,,J,Y,N,D,3,0,0,0,22350.0,1,37.89113329,-122.14392464,2
2011,2011-03-27,1354,3,1,13,7,N,A,Y,A,H,A,A,07,W,08,C,,,,,C,Y,N,A,1,0,0,0,22107.0,2,38.00429325,-122.03939108,4
2011,2011-04-05,1515,4,1,15,2,N,A,Y,A,H,A,A,08,E,03,C,,,,,C,Y,N,D,1,0,0,0,22350.0,3,38.01114718,-121.86467239,4
2011,2011-03-17,1630,3,1,16,4,N,A,Y,A,H,A,A,01,E,07,B,,,Y,,C,Y,N,D,1,0,0,1,21658.0,3,38.01688372,-121.88848791,3
2011,2011-04-03,1835,4,1,18,7,N,A,Y,A,H,A,A,01,W,03,C,,,,,C,Y,N,D,1,0,0,0,22350.0,2,38.01289801,-122.00306123,3
2011,2011-05-04,1650,5,1,16,3,N,A,Y,A,H,A,A,01,E,03,C,,,,,C,Y,N,D,1,0,0,0,22350.0,3,37.89152139,-122.15254585,4
2011,2011-05-04,715,5,1,7,3,N,A,Y,A,H,A,A,01,S,03,C,,,,,C,N,N,D,1,0,0,0,22350.0,2,37.9435964,-122.05908029,4
2011,2011-05-05,850,5,1,8,4,N,A,Y,A,H,A,C,02,S,08,E,,,Y,,I,Y,N,D,1,0,0,1,22107.0,1,37.91963086,-122.06277555,3
2011,2011-05-07,1130,5,1,11,6,N,A,N,A,H,A,C,02,N,08,-,,,Y,,A,Y,N,D,1,0,0,1,22107.0,1,38.01487,-122.17769,3
2011,2011-05-10,1800,5,1,18,2,N,A,Y,A,H,A,A,01,E,03,C,,,,,C,N,N,D,1,0,0,0,22350.0,2,38.01676316,-121.88799244,4
2011,2011-05-14,1722,5,1,17,6,Y,B,N,A,D,A,A,07,,06,B,,,,,C,N,N,A,1,0,0,0,21755.0,2,37.90776,-122.30858,4
2011,2011-04-12,1004,4,1,10,2,N,A,N,A,H,A,A,07,S,03,C,,,,,C,N,N,A,1,0,0,0,22350.0,3,37.97596538,-122.03523555,4
2011,2011-04-30,2232,4,1,22,6,N,A,N,A,H,C,-,- ,E,18,E,,,Y,,J,N,N,D,1,0,0,1,,2,37.97507127,-122.03714251,3
2011,2011-05-03,1755,5,1,17,2,Y,A,N,A,H,A,A,07,,03,C,,,,,C,Y,N,D,2,0,0,0,22350.0,3,37.96004,-122.04221,4
2011,2011-05-08,1539,5,1,15,7,Y,A,N,A,H,A,A,01,,12,D,,,,,C,Y,N,A,1,0,0,0,21453.0,2,37.97311,-122.04147,4
2011,2011-05-07,1355,5,1,13,6,Y,A,N,A,H,A,A,01,,03,C,,,,,C,N,N,A,1,0,0,0,22350.0,2,37.9671,-122.06277,4
2011,2011-05-07,250,5,1,2,6,N,A,N,A,H,-,A,01,,04,C,,,,,C,N,N,D,1,0,0,0,21703.0,2,37.94594,-121.96942,4
2011,2011-05-06,1838,5,1,18,5,N,A,N,A,H,A,A,01,W,03,C,,,,,C,Y,N,D,3,0,0,0,22350.0,3,37.97617608,-122.06090364,4
2011,2011-05-04,1733,5,1,17,3,N,A,N,A,H,A,A,01,E,03,C,,,,,C,Y,N,A,2,0,0,0,22350.0,3,37.96563053,-122.02160089,4
