ACCIDENT_YEAR,COLLISION_DATE,COLLISION_TIME,MONTH,SEASON,24HOURS,DAY_OF_WEEK,INTERSECTION,WEATHER_1,STATE_HWY_IND,ROAD_SURFACE,ROAD_COND_1,LIGHTING,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,DIRECTION,PCF_VIOL_CATEGORY,TYPE_OF_COLLISION,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,MVIW,TOW_AWAY,HIT_AND_RUN,CONTROL_DEVICE,NUMBER_INJURED,COUNT_PED_INJURED,COUNT_BICYCLIST_INJURED,COUNT_MC_INJURED,PCF_VIOLATION,PARTY_COUNT,POINT_Y,POINT_X,COLLISION_SEVERITY
2011,2011-03-02,1458,3,1,14,3,N,B,Y,A,H,A,A,01,N,08,E,,,,Y,I,Y,N,D,0,0,0,0,22107.0,2,39.73104013,-122.20569158,1
2011,2011-04-05,2135,4,1,21,2,N,A,N,A,H,D,A,01,N,01,A,,,,,C,Y,N,D,1,0,0,0,23152.0,2,39.58570601,-122.19462342,1
2011,2011-01-27,640,1,4,6,4,N,E,Y,B,H,D,A,01,E,08,D,,,,Y,C,Y,N,D,2,0,0,0,22107.0,3,39.74481133,-122.05429722,4
2011,2011-01-12,1515,1,4,15,3,Y,B,N,A,H,A,A,07,,09,D,,,,,C,Y,N,A,1,0,0,0,21802.0,2,39.40713,-122.19283,3
2011,2011-01-01,1848,1,4,18,6,N,C,N,B,H,D,A,01,S,03,E,,,,,I,Y,N,D,2,0,0,0,22350.0,1,39.78282313,-122.19759955,4
2011,2011-02-23,1616,2,4,16,3,N,A,N,A,H,A,A,01,S,04,C,,,,,C,Y,N,D,1,0,0,0,21703.0,2,39.75463508,-122.19699562,4
2011,2011-01-26,1950,1,4,19,3,N,A,Y,A,H,D,D,22,E,03,C,,,,,C,N,N,D,1,0,0,0,22350.0,2,39.74674929,-122.11846787,4
2011,2011-01-29,1130,1,4,11,6,N,B,N,A,H,A,D,22,S,08,E,,,,,I,Y,N,D,2,0,0,0,22107.0,1,39.69447755,-122.14019659,3
2011,2011-01-08,810,1,4,8,6,N,B,Y,B,B,A,A,01,E,03,E,,,,,I,Y,N,D,1,0,0,0,22350.0,1,39.61542057,-122.51304109,4
2011,2011-01-27,2000,1,4,20,4,N,E,N,A,H,D,A,01,W,03,E,,,,,I,Y,N,A,1,0,0,0,22350.0,1,39.72521157,-122.14118242,4
2011,2011-02-27,1747,2,4,17,7,N,A,Y,A,H,A,A,01,S,08,E,,,,Y,I,Y,N,D,1,0,0,0,22107.0,3,39.67712118,-122.20449828,4
2011,2011-03-01,1343,3,1,13,2,-,A,N,A,H,A,A,01,,04,C,,,,,C,Y,N,D,1,0,0,0,21703.0,2,39.74736,-122.19022,3
2011,2011-03-04,1659,3,1,16,5,Y,A,N,A,H,A,C,02,,09,D,,,Y,,C,N,N,D,1,0,0,1,21800.0,2,39.74386,-122.19551,3
2011,2011-03-04,1809,3,1,18,5,Y,B,N,A,H,C,A,01,,04,C,,,,,C,Y,N,A,1,0,0,0,21703.0,2,39.74734,-122.18746,3
2011,2011-02-02,1448,2,4,14,3,N,A,N,A,H,A,A,01,N,00,E,,,,,I,Y,N,D,1,0,0,0,23103.0,1,39.75238885,-122.18746025,4
2011,2011-02-09,2000,2,4,20,3,N,A,Y,A,H,D,A,01,N,08,E,,,,,I,Y,N,D,1,0,0,0,22107.0,1,39.71010817,-122.20628787,4
2011,2011-02-15,1558,2,4,15,2,N,C,N,B,H,A,-,- ,E,18,H,,,,,A,N,N,D,1,0,0,0,,1,39.74743036,-122.21315561,3
2011,2011-02-26,1,2,4,0,6,N,A,Y,A,H,D,-,- ,N,18,E,,,,,J,Y,N,D,2,0,0,0,,1,39.54844731,-122.21496673,4
2011,2011-03-11,1440,3,1,14,5,N,A,Y,A,H,A,-,- ,N,18,E,,,,,I,Y,N,D,1,0,0,0,,1,39.53120179,-122.21492335,4
2011,2011-04-04,1731,4,1,17,1,N,A,N,A,H,A,D,22,W,09,A,,,,,C,Y,N,D,3,0,0,0,21801.0,2,39.74720517,-122.17390035,2
2011,2011-04-03,415,4,1,4,7,Y,A,N,A,H,D,A,01,,01,E,,,,,I,Y,N,A,1,0,0,0,23152.0,1,39.73647,-122.18093,3
2011,2011-04-04,1525,4,1,15,1,N,A,N,A,H,A,L,04,N,08,C,,Y,,,G,N,N,D,1,0,1,0,22107.0,2,39.73314098,-122.19680324,3
2011,2011-03-30,605,3,1,6,3,N,A,Y,A,H,D,A,07,N,08,F,,,,,A,Y,N,D,2,0,0,0,22107.0,1,39.64052111,-122.20412619,4
2011,2011-04-15,2330,4,1,23,5,N,A,Y,A,H,D,D,22,W,08,E,,,,,I,Y,N,D,2,0,0,0,22107.0,1,39.53895547,-122.34394432,2
2011,2011-04-14,1305,4,1,13,4,N,B,Y,A,H,A,D,22,E,08,E,,,,,I,Y,N,D,1,0,0,0,22107.0,1,39.53136732,-122.32064043,4
2011,2011-05-15,2120,5,1,21,7,N,B,Y,A,H,D,D,22,N,08,E,,,,,I,Y,N,A,1,0,0,0,22107.0,1,39.70935461,-122.00396777,3
2011,2011-05-15,1305,5,1,13,7,N,B,Y,B,H,A,D,22,S,01,E,,,,,I,Y,N,D,1,0,0,0,23152.0,1,39.61526893,-122.00741727,2
2011,2011-04-24,1325,4,1,13,7,Y,A,Y,A,H,A,B,01,,04,C,,,,,C,Y,N,A,3,0,0,0,21703.0,2,39.74739517,-122.19702888,4
2011,2011-06-21,705,6,2,7,2,N,A,Y,A,H,A,E,22,N,08,E,,,,,I,Y,N,D,1,0,0,0,22107.0,1,39.69121603,-122.00441544,3
2011,2011-06-21,1745,6,2,17,2,Y,A,N,A,H,A,A,01,,03,C,,,,,C,Y,N,D,3,0,0,0,22350.0,2,39.754773,-122.215662,4
2011,2011-06-15,545,6,2,5,3,N,A,Y,A,H,B,D,22,N,08,E,,,,,I,Y,N,D,1,0,0,0,22107.0,1,39.56762317,-122.21259377,3
2011,2011-06-01,655,6,2,6,3,N,B,N,A,H,B,A,01,W,03,C,,,,,C,Y,N,D,2,0,0,0,22350.0,2,39.76643624,-122.03745736,4
2011,2011-06-24,2320,6,2,23,5,Y,A,N,A,H,D,D,22,,03,E,,,,,J,Y,N,A,1,0,0,0,22350.0,1,39.78732,-122.19757,3
2011,2011-05-02,711,5,1,7,1,Y,A,N,A,H,A,D,22,,10,G,Y,,,,B,,N,D,1,1,0,0,21950.0,2,39.7491,-122.18216,4
2011,2011-05-01,100,5,1,1,7,N,A,N,A,H,D,A,01,N,08,E,,,,,I,Y,N,D,2,0,0,0,22107.0,1,39.4114031,-122.54511416,3
2011,2011-05-18,1019,5,1,10,3,N,A,Y,A,H,A,A,01,N,01,E,,,,,I,Y,N,D,1,0,0,0,23152.0,1,39.39169496,-122.19293702,3
2011,2011-04-08,1740,4,1,17,5,N,A,Y,A,H,A,A,01,N,08,E,,,,,I,Y,N,D,2,0,0,0,22107.0,1,39.78745787,-122.20386271,4
2011,2011-04-30,1845,4,1,18,6,N,A,N,A,H,A,A,01,W,08,E,,,,,I,Y,N,D,5,0,0,0,22107.0,1,,,3
2011,2011-04-15,1322,4,1,13,5,N,A,Y,A,H,A,A,01,N,08,D,,,,,C,Y,N,D,2,0,0,0,22107.0,2,39.62540605,-122.00707289,4
2011,2011-06-25,1938,6,2,19,6,Y,A,N,A,H,A,C,02,,03,F,,,Y,,A,Y,F,D,2,0,0,2,22350.0,1,39.75305,-122.18745,2
