ACCIDENT_YEAR,COLLISION_DATE,COLLISION_TIME,MONTH,SEASON,24HOURS,DAY_OF_WEEK,INTERSECTION,WEATHER_1,STATE_HWY_IND,ROAD_SURFACE,ROAD_COND_1,LIGHTING,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,DIRECTION,PCF_VIOL_CATEGORY,TYPE_OF_COLLISION,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,MVIW,TOW_AWAY,HIT_AND_RUN,CONTROL_DEVICE,NUMBER_INJURED,COUNT_PED_INJURED,COUNT_BICYCLIST_INJURED,COUNT_MC_INJURED,PCF_VIOLATION,PARTY_COUNT,POINT_Y,POINT_X,COLLISION_SEVERITY
2011,2011-05-01,1014,5,1,10,7,N,A,N,A,H,A,-,- ,N,21,G,Y,,,,B,N,N,D,1,1,0,0,22106.0,2,32.78900402,-115.54187447,3
2011,2011-04-29,1201,4,1,12,5,N,A,Y,A,H,A,D,22,E,08,F,,,,,I,Y,N,D,1,0,0,0,22107.0,1,32.76205845,-115.25415146,4
2011,2011-04-18,1430,4,1,14,1,N,A,Y,A,H,A,A,01,E,08,E,,,,,I,Y,N,D,1,0,0,0,22107.0,1,32.74257019,-115.96276178,4
2011,2011-04-20,1645,4,1,16,3,Y,A,Y,A,H,A,A,01,,09,D,,,,,C,Y,N,A,5,0,0,0,21802.0,2,32.87645489,-115.57032157,4
2011,2011-04-27,2315,4,1,23,3,N,A,Y,A,H,D,A,01,W,07,F,,,,,A,Y,N,D,3,0,0,0,21658.0,1,32.7737353,-115.64990934,4
2011,2011-04-30,1630,4,1,16,6,Y,A,Y,A,H,A,A,01,,09,D,,,,,C,Y,N,A,2,0,0,0,21802.0,2,33.38223076,-116.03250512,3
2011,2011-04-23,337,4,1,3,6,N,A,Y,A,H,D,A,01,N,08,F,,,,,A,Y,N,D,1,0,0,0,22107.0,1,32.92134886,-115.56996158,3
2011,2011-05-10,1944,5,1,19,2,N,A,N,A,H,B,A,01,S,03,C,,,,,C,Y,N,A,3,0,0,0,22350.0,2,32.76889295,-115.53517342,3
2011,2011-05-08,1440,5,1,14,7,Y,A,Y,A,H,A,A,01,,12,D,,,,,C,Y,N,A,2,0,0,0,21453.0,2,32.81103383,-115.56979248,4
2011,2011-05-04,1655,5,1,16,3,Y,A,N,A,H,A,-,- ,,12,D,,,,,C,Y,N,A,1,0,0,0,22450.0,2,32.786883,-115.535502,4
2011,2011-05-09,803,5,1,8,1,N,A,N,A,H,A,A,01,W,08,B,,,,,C,Y,N,D,1,0,0,0,22107.0,2,32.77697528,-115.55968352,4
2011,2011-05-09,1551,5,1,15,1,Y,A,N,A,H,A,C,02,,03,F,,,Y,,A,N,N,D,1,0,0,1,22350.0,1,32.77837024,-115.56968272,3
2011,2011-05-09,222,5,1,2,1,Y,A,N,A,H,C,A,01,,12,D,,,,,C,N,M,A,1,0,0,0,22450.0,2,32.78969475,-115.56984723,4
2011,2011-05-09,132,5,1,1,1,N,A,N,A,H,D,N,60,E,11,G,Y,,,,B,N,F,D,1,1,0,0,21956.0,2,32.81037834,-115.3801971,3
2011,2011-04-24,1541,4,1,15,7,Y,A,Y,A,H,A,-,- ,,12,D,,,,,D,Y,N,A,3,0,0,0,22450.0,2,32.97864491,-115.50931157,3
2011,2011-01-17,1705,1,4,17,1,Y,A,Y,A,H,E,A,01,,09,D,,,,Y,C,Y,N,A,3,0,0,0,21802.0,2,33.28937492,-115.97175167,2
2011,2011-01-22,1749,1,4,17,6,Y,A,Y,A,H,C,D,22,,09,D,,,,,C,Y,N,A,1,0,0,0,21802.0,2,32.73086479,-115.38201663,1
2011,2011-02-24,1655,2,4,16,4,N,A,N,A,H,A,A,01,E,01,F,,,,,A,Y,N,D,0,0,0,0,23152.0,1,33.30508023,-115.97772287,1
2011,2011-01-25,845,1,4,8,2,N,B,Y,A,H,A,G,25,N,07,B,,,,Y,C,Y,N,D,1,0,0,0,21658.0,2,33.03965569,-115.7094155,4
2011,2011-01-29,1245,1,4,12,6,N,A,Y,A,H,A,D,22,S,03,C,,,,,C,Y,N,A,3,0,0,0,22350.0,3,32.8050618,-115.56975698,4
2011,2011-01-25,1740,1,4,17,2,N,A,N,A,H,C,N,60,S,11,G,Y,,,,B,N,N,D,1,1,0,0,21950.0,2,32.78378914,-115.56344032,3
2011,2011-01-27,1713,1,4,17,4,N,A,N,A,H,A,N,60,N,11,G,Y,,,,B,N,N,A,1,1,0,0,21950.0,2,32.79171506,-115.56988209,3
2011,2011-01-28,1201,1,4,12,5,Y,A,N,A,H,A,A,01,,09,D,,,,,C,Y,N,D,1,0,0,0,21800.0,2,32.787756,-115.541838,3
2011,2011-01-31,1324,1,4,13,1,N,A,N,A,H,A,A,01,N,03,C,,,,,C,Y,N,D,1,0,0,0,22350.0,2,32.79474587,-115.56993788,4
2011,2011-02-02,2054,2,4,20,3,N,A,N,A,H,C,-,- ,W,08,B,,,,,E,Y,N,D,1,0,0,0,22107.0,2,32.80477488,-115.55760994,3
2011,2011-02-04,2123,2,4,21,5,N,A,N,A,H,C,-,- ,N,03,C,,,,,C,Y,N,A,1,0,0,0,22350.0,2,32.76951017,-115.53520918,4
2011,2011-02-06,1649,2,4,16,7,N,A,N,A,H,A,A,07,W,03,C,,,,,C,N,N,A,2,0,0,0,22350.0,2,32.77838488,-115.56486304,4
2011,2011-01-07,630,1,4,6,5,Y,B,N,A,H,A,A,01,,03,A,,,,,C,Y,N,A,1,0,0,0,22350.0,2,32.75236487,-115.53493559,4
