ACCIDENT_YEAR,COLLISION_DATE,COLLISION_TIME,MONTH,SEASON,24HOURS,DAY_OF_WEEK,INTERSECTION,WEATHER_1,STATE_HWY_IND,ROAD_SURFACE,ROAD_COND_1,LIGHTING,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,DIRECTION,PCF_VIOL_CATEGORY,TYPE_OF_COLLISION,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,MVIW,TOW_AWAY,HIT_AND_RUN,CONTROL_DEVICE,NUMBER_INJURED,COUNT_PED_INJURED,COUNT_BICYCLIST_INJURED,COUNT_MC_INJURED,PCF_VIOLATION,PARTY_COUNT,POINT_Y,POINT_X,COLLISION_SEVERITY
2011,2011-01-02,1900,1,4,19,7,N,D,Y,C,G,D,A,07,N,03,F,,,,,A,Y,N,A,2,0,0,0,22350.0,1,36.64070114,-118.08202149,4
2011,2011-01-02,1900,1,4,19,7,N,B,Y,C,G,D,A,07,S,03,F,,,,,A,Y,N,A,1,0,0,0,22350.0,1,36.29302357,-118.01725787,3
2011,2011-01-01,2500,1,4,25,6,N,A,Y,A,H,D,D,22,S,01,E,,,,,I,Y,N,D,0,0,0,0,23152.0,1,35.84597199,-116.31749482,1
2011,2011-03-03,1250,3,1,12,4,N,A,Y,A,H,A,A,01,S,01,F,,,,,A,Y,N,D,0,0,0,0,23152.0,1,35.89898691,-116.25801467,1
2011,2011-03-18,1625,3,1,16,5,N,A,N,A,H,A,C,02,N,08,F,,,Y,,A,Y,N,A,0,0,0,0,22107.0,1,36.26630051,-117.35922454,1
2011,2011-04-03,545,4,1,5,7,N,A,Y,A,H,B,A,01,S,08,E,,,,,I,Y,N,D,1,0,0,0,22107.0,1,36.57422176,-118.0562808,1
2011,2011-04-17,1645,4,1,16,7,N,A,Y,A,H,A,A,08,E,08,E,,,,,I,Y,N,A,3,0,0,0,22107.0,1,36.38557708,-116.74545996,1
2011,2011-04-16,1516,4,1,15,6,N,A,Y,A,H,A,A,07,S,08,F,,,,,A,Y,N,D,0,0,0,0,22107.0,1,37.03835434,-118.23253602,1
2011,2011-01-04,1400,1,4,14,2,N,A,Y,A,H,A,A,01,W,08,E,,,,,I,Y,N,A,1,0,0,0,22107.0,1,36.14052022,-116.16638543,4
2011,2011-01-03,745,1,4,7,1,Y,A,Y,A,H,A,D,22,,01,D,,,,,C,Y,N,A,2,0,0,0,23152.0,2,37.36115523,-118.43637693,4
