ACCIDENT_YEAR,COLLISION_DATE,COLLISION_TIME,MONTH,SEASON,24HOURS,DAY_OF_WEEK,INTERSECTION,WEATHER_1,STATE_HWY_IND,ROAD_SURFACE,ROAD_COND_1,LIGHTING,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,DIRECTION,PCF_VIOL_CATEGORY,TYPE_OF_COLLISION,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,MVIW,TOW_AWAY,HIT_AND_RUN,CONTROL_DEVICE,NUMBER_INJURED,COUNT_PED_INJURED,COUNT_BICYCLIST_INJURED,COUNT_MC_INJURED,PCF_VIOLATION,PARTY_COUNT,POINT_Y,POINT_X,COLLISION_SEVERITY
2011,2011-05-08,2115,5,1,21,7,N,B,Y,B,H,D,D,22,N,03,D,,,,,C,N,N,D,1,0,0,0,22350.0,2,40.27381174,-120.48172016,4
2011,2011-04-12,750,4,1,7,2,Y,A,N,A,H,A,D,22,,09,D,,,,,C,Y,N,D,1,0,0,0,21802.0,2,40.41849,-120.65246,4
2011,2011-02-16,1546,2,4,15,3,N,D,Y,C,H,A,A,07,E,03,A,,,,,D,Y,N,D,3,0,0,0,22350.0,2,41.16925845,-120.98669848,1
2011,2011-01-10,730,1,4,7,1,Y,A,N,A,H,A,-,- ,,03,G,Y,,,,B,N,N,A,1,1,0,0,22350.0,3,40.42077,-120.64519,3
2011,2011-01-01,1020,1,4,10,6,N,B,Y,C,H,A,A,07,S,03,C,,,,,C,Y,N,D,1,0,0,0,22350.0,2,39.94893479,-120.02923488,4
2011,2011-01-07,1505,1,4,15,5,Y,A,Y,A,H,A,A,01,,09,D,,,,,C,Y,N,A,1,0,0,0,21801.0,2,40.38394535,-120.58693321,4
2011,2011-01-08,2220,1,4,22,6,N,A,Y,A,H,D,A,01,W,08,E,,,,,I,Y,N,D,1,0,0,0,22107.0,1,,,4
2011,2011-01-09,1210,1,4,12,7,N,A,Y,A,H,A,D,22,E,03,F,,,,,A,Y,N,D,2,0,0,0,22350.0,1,40.31701152,-120.95843346,4
2011,2011-01-13,837,1,4,8,4,N,B,Y,B,H,A,A,07,W,03,E,,,,,I,Y,N,D,3,0,0,0,22350.0,1,40.50257731,-120.98761198,4
2011,2011-01-11,2340,1,4,23,2,N,B,Y,C,H,D,D,22,N,03,F,,,,,A,Y,N,D,1,0,0,0,22350.0,1,40.21933066,-120.43045601,2
2011,2011-01-30,1815,1,4,18,7,N,A,Y,-,H,D,-,- ,N,18,H,,,,,H,Y,N,D,2,0,0,0,,1,40.61476642,-120.24540326,3
2011,2011-01-07,1310,1,4,13,5,N,A,N,C,H,A,A,08,S,03,E,,,,,I,Y,N,D,1,0,0,0,22350.0,1,40.52559255,-121.04311377,4
2011,2011-01-10,1442,1,4,14,1,N,A,N,A,H,A,A,07,E,05,E,,,,,I,Y,N,D,1,0,0,0,21650.0,1,40.31689306,-120.50676734,2
2011,2011-02-13,1830,2,4,18,7,Y,A,Y,A,H,C,-,- ,,12,A,,,,,C,Y,N,A,3,0,0,0,21453.0,2,40.41240109,-120.63869657,2
2011,2011-01-22,1505,1,4,15,6,Y,A,Y,A,H,A,-,- ,,09,D,,,,,C,Y,N,A,2,0,0,0,21802.0,2,40.42132307,-120.64652242,3
2011,2011-02-14,1815,2,4,18,1,N,B,Y,A,H,D,-,- ,N,18,H,,,,,H,Y,N,D,4,0,0,0,,1,40.90059553,-120.48938087,3
2011,2011-02-25,630,2,4,6,5,N,D,Y,C,H,A,A,07,E,03,B,,,,,C,Y,N,A,1,0,0,0,22350.0,2,40.09627576,-120.18371187,4
2011,2011-02-17,1010,2,4,10,4,N,D,Y,C,H,A,A,07,N,03,E,,,,,I,Y,N,A,2,0,0,0,22350.0,1,40.23724342,-120.44916124,4
