ACCIDENT_YEAR,COLLISION_DATE,COLLISION_TIME,MONTH,SEASON,24HOURS,DAY_OF_WEEK,INTERSECTION,WEATHER_1,STATE_HWY_IND,ROAD_SURFACE,ROAD_COND_1,LIGHTING,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,DIRECTION,PCF_VIOL_CATEGORY,TYPE_OF_COLLISION,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,MVIW,TOW_AWAY,HIT_AND_RUN,CONTROL_DEVICE,NUMBER_INJURED,COUNT_PED_INJURED,COUNT_BICYCLIST_INJURED,COUNT_MC_INJURED,PCF_VIOLATION,PARTY_COUNT,POINT_Y,POINT_X,COLLISION_SEVERITY
2011,2011-01-12,1109,1,4,11,3,N,A,N,A,H,A,F,26,N,17,B,,Y,,Y,G,N,N,D,1,0,1,0,22517.0,2,37.97063061,-122.56132508,3
2011,2011-05-06,1755,5,1,17,5,N,A,N,A,H,A,-,- ,E,18,C,,,,Y,C,N,N,D,1,0,0,0,,3,37.98659992,-122.58031452,4
2011,2011-04-18,919,4,1,9,1,N,F,N,A,H,A,A,08,S,03,C,,,,Y,C,N,N,D,1,0,0,0,22350.0,3,37.97199689,-122.56150739,4
2011,2011-03-17,1600,3,1,16,4,N,A,N,A,H,A,A,08,E,03,C,,,,,C,N,N,D,1,0,0,0,22350.0,2,37.97693025,-122.56353289,4
2011,2011-03-14,1033,3,1,10,1,N,B,N,B,H,A,F,21,N,08,F,,,,Y,J,Y,N,D,1,0,0,0,22107.0,1,,,4
2011,2011-03-18,825,3,1,8,5,N,B,N,B,H,A,A,07,W,21,C,,,,,C,N,N,D,1,0,0,0,22106.0,3,37.98671359,-122.57876993,3
2011,2011-02-19,2320,2,4,23,6,N,B,Y,B,H,C,A,01,S,07,B,,,,,C,Y,F,D,1,0,0,0,21658.0,3,37.96781114,-122.51965832,4
2011,2011-05-09,1726,5,1,17,1,N,A,N,A,H,A,L,04,N,06,D,,Y,,,G,N,N,D,1,0,1,0,21754.0,2,,,4
2011,2011-02-02,1235,2,4,12,3,N,A,N,A,B,A,C,02,W,03,F,,,Y,,A,Y,N,D,0,0,0,0,22350.0,2,38.1656,-122.80959,1
2011,2011-01-26,1148,1,4,11,3,N,A,N,A,H,A,I,11,W,03,C,,,,,C,N,N,D,1,0,0,0,22350.0,2,37.98728176,-122.5882121,4
2011,2011-01-22,918,1,4,9,6,Y,A,N,A,H,A,F,26,,12,D,,,,Y,C,N,N,A,1,0,0,0,21453.0,2,37.97073,-122.5234,4
2011,2011-01-27,1828,1,4,18,4,N,A,N,A,H,C,D,82,E,03,C,,,,,C,Y,N,D,1,0,0,0,22350.0,3,37.97631092,-122.54989776,4
2011,2011-01-31,750,1,4,7,1,N,A,N,A,H,A,A,01,E,10,G,Y,,,,B,Y,N,A,2,2,0,0,21950.0,3,38.112105,-122.59335412,3
2011,2011-01-22,1015,1,4,10,6,N,A,N,A,H,A,L,04,E,03,H,,Y,,,I,N,N,D,1,0,1,0,22350.0,1,38.10894653,-122.57705291,3
2011,2011-02-02,1600,2,4,16,3,N,A,N,A,H,A,-,- ,E,18,E,,Y,,,G,N,N,D,1,0,1,0,,1,38.10601662,-122.6052905,2
2011,2011-01-17,1603,1,4,16,1,N,A,N,A,H,A,A,01,W,03,C,,,,,C,Y,N,A,3,0,0,0,22350.0,3,37.95985917,-122.50603971,4
2011,2011-01-29,1805,1,4,18,6,Y,A,N,A,H,C,A,01,,12,D,,,,,C,Y,N,A,2,0,0,0,21453.0,2,37.97099,-122.51877,4
2011,2011-01-18,1603,1,4,16,2,N,A,N,A,H,A,A,01,W,03,C,,,,,C,N,N,D,1,0,0,0,22350.0,2,37.97195283,-122.5352471,4
