ACCIDENT_YEAR,COLLISION_DATE,COLLISION_TIME,MONTH,SEASON,24HOURS,DAY_OF_WEEK,INTERSECTION,WEATHER_1,STATE_HWY_IND,ROAD_SURFACE,ROAD_COND_1,LIGHTING,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,DIRECTION,PCF_VIOL_CATEGORY,TYPE_OF_COLLISION,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,MVIW,TOW_AWAY,HIT_AND_RUN,CONTROL_DEVICE,NUMBER_INJURED,COUNT_PED_INJURED,COUNT_BICYCLIST_INJURED,COUNT_MC_INJURED,PCF_VIOLATION,PARTY_COUNT,POINT_Y,POINT_X,COLLISION_SEVERITY
2011,2011-04-09,950,4,1,9,6,Y,B,Y,A,H,A,E,22,,03,C,,,,,C,Y,N,D,1,0,0,0,22350.0,3,37.43193512,-120.09857276,1
2011,2011-01-04,1820,1,4,18,2,N,A,Y,A,C,D,-,- ,E,18,H,,,,,A,N,N,D,1,0,0,0,,1,37.66313012,-119.86582765,4
2011,2011-01-30,825,1,4,8,7,N,C,Y,B,H,A,A,07,S,03,E,,,,,I,Y,N,D,1,0,0,0,22350.0,1,37.46266331,-119.89715564,4
2011,2011-01-19,1525,1,4,15,3,Y,B,Y,A,H,A,A,01,,09,D,,,,,C,Y,N,A,1,0,0,0,21802.0,2,37.49289514,-119.97471515,3
2011,2011-01-07,1740,1,4,17,5,N,A,N,A,H,D,A,01,N,08,F,,,,,I,Y,N,D,2,0,0,0,22107.0,1,37.52637028,-119.94308303,2
2011,2011-01-05,2500,1,4,25,3,N,A,N,C,H,D,A,01,S,03,E,,,,,I,N,N,D,1,0,0,0,22350.0,1,37.515927,-119.83355274,4
2011,2011-01-06,1745,1,4,17,4,N,B,Y,B,H,D,A,01,W,08,E,,,,,I,Y,N,D,2,0,0,0,22107.0,1,37.4792983,-120.03038856,3
2011,2011-01-05,825,1,4,8,3,N,A,Y,A,H,A,A,01,W,08,E,,,,,I,Y,N,D,1,0,0,0,22107.0,1,37.47817467,-120.05976841,2
2011,2011-01-09,620,1,4,6,7,N,B,Y,C,G,D,-,- ,W,18,E,,,,,I,Y,N,D,1,0,0,0,,1,37.54005514,-119.91762274,4
2011,2011-01-18,1520,1,4,15,2,Y,B,Y,A,H,A,A,07,,03,C,,,,,C,Y,N,D,2,0,0,0,22350.0,3,37.46350018,-119.8920941,4
2011,2011-01-10,1400,1,4,14,1,Y,B,Y,A,H,A,-,99,,10,G,Y,,,,B,N,F,D,1,1,0,0,21950.0,2,37.48560514,-119.96605274,4
2011,2011-01-16,1250,1,4,12,7,N,A,N,A,B,A,A,07,W,03,E,,,,,I,Y,N,D,3,0,0,0,22350.0,1,37.75134336,-120.11704663,3
2011,2011-02-07,1300,2,4,13,1,N,A,Y,A,H,A,A,07,W,03,C,,,,,C,N,N,A,1,0,0,0,22350.0,2,37.48942204,-119.97018592,4
2011,2011-01-31,1845,1,4,18,1,N,B,N,A,H,D,D,22,W,03,E,,,,,I,Y,N,D,3,0,0,0,22350.0,1,37.50438322,-120.11828025,3
2011,2011-02-13,1915,2,4,19,7,N,A,N,A,H,D,A,01,W,08,F,,,,,A,Y,F,D,1,0,0,0,22107.0,1,37.52123824,-119.91664412,4
2011,2011-03-19,1501,3,1,15,6,N,B,N,B,H,A,A,01,N,08,E,,,,,I,Y,N,D,1,0,0,0,22107.0,1,37.76862702,-120.10611802,3
2011,2011-03-30,10,3,1,0,3,N,A,N,A,H,D,D,22,E,01,E,,,,,I,Y,N,A,1,0,0,0,23152.0,1,37.49440034,-119.92429316,4
2011,2011-03-23,1655,3,1,16,3,N,B,Y,C,H,B,A,07,E,03,E,,,,,I,Y,N,D,1,0,0,0,22350.0,1,37.53181514,-119.92020274,4
