ACCIDENT_YEAR,COLLISION_DATE,COLLISION_TIME,MONTH,SEASON,24HOURS,DAY_OF_WEEK,INTERSECTION,WEATHER_1,STATE_HWY_IND,ROAD_SURFACE,ROAD_COND_1,LIGHTING,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,DIRECTION,PCF_VIOL_CATEGORY,TYPE_OF_COLLISION,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,MVIW,TOW_AWAY,HIT_AND_RUN,CONTROL_DEVICE,NUMBER_INJURED,COUNT_PED_INJURED,COUNT_BICYCLIST_INJURED,COUNT_MC_INJURED,PCF_VIOLATION,PARTY_COUNT,POINT_Y,POINT_X,COLLISION_SEVERITY
2011,2011-05-02,1815,5,1,18,1,N,A,Y,A,H,A,C,02,S,01,E,,,Y,,I,N,N,D,1,0,0,1,23152.0,1,39.91919505,-123.76473336,2
2011,2011-05-14,30,5,1,0,6,N,A,N,A,H,D,D,22,N,01,F,,,,,A,Y,M,D,1,0,0,0,23152.0,1,38.91888182,-123.69413106,3
2011,2011-05-11,1725,5,1,17,3,N,A,N,A,H,A,A,01,S,09,D,,,,,C,N,N,D,1,0,0,0,21804.0,2,39.16882573,-123.21517345,4
2011,2011-05-10,1847,5,1,18,2,N,A,N,A,H,A,A,01,S,01,C,,,,,C,Y,N,A,3,0,0,0,23152.0,2,39.16761396,-123.21130998,3
2011,2011-05-02,2350,5,1,23,1,N,A,N,A,H,B,A,01,N,01,E,,,,,I,Y,N,A,1,0,0,0,23152.0,1,39.35516947,-123.10825199,3
2011,2011-05-02,1345,5,1,13,1,N,A,Y,A,H,A,A,07,S,05,B,,,,,C,Y,N,D,1,0,0,0,21651.0,2,39.36377256,-123.80896053,3
2011,2011-01-02,2235,1,4,22,7,Y,A,Y,A,H,D,A,01,,01,D,,,,,C,Y,N,A,2,0,0,0,23152.0,2,39.80876649,-123.24809817,1
2011,2011-01-15,1700,1,4,17,6,N,B,Y,B,H,B,A,07,S,01,A,,,,,C,Y,N,D,1,0,0,0,23152.0,2,39.38758952,-123.8124854,1
2011,2011-03-13,1912,3,1,19,7,N,B,Y,B,H,B,A,01,S,08,E,,,,,I,Y,N,D,0,0,0,0,22107.0,1,39.49641137,-123.36790981,1
2011,2011-01-30,1853,1,4,18,7,Y,A,Y,A,H,D,F,26,,09,D,,,,Y,C,Y,N,D,1,0,0,0,21802.0,2,38.95282503,-123.09840341,3
2011,2011-01-22,1837,1,4,18,6,Y,A,N,A,H,C,-,- ,,03,C,,,,,C,Y,N,A,1,0,0,0,22350.0,3,39.1458,-123.20682,4
2011,2011-01-24,1548,1,4,15,1,Y,A,N,A,H,A,A,01,,09,D,,,,,C,Y,N,D,2,0,0,0,21801.0,2,39.151557,-123.1980615,4
2011,2011-01-31,1642,1,4,16,1,N,A,N,A,H,B,A,07,S,10,G,Y,,,,B,N,N,A,1,1,0,0,21950.0,2,39.13413045,-123.20501014,4
2011,2011-02-01,1855,2,4,18,2,Y,A,N,A,H,C,-,- ,,01,A,,,,,J,Y,N,D,1,0,0,0,23152.0,1,39.14875,-123.21533,3
2011,2011-01-30,1759,1,4,17,7,N,A,N,A,H,D,D,22,E,06,E,,,,,J,N,N,D,2,0,0,0,21759.0,2,39.41916203,-123.32660258,3
2011,2011-01-31,1450,1,4,14,1,N,B,Y,A,H,A,A,01,W,08,E,,,,,I,Y,N,D,1,0,0,0,22107.0,1,39.39294564,-123.71043499,3
2011,2011-01-23,1525,1,4,15,7,Y,A,Y,A,H,A,C,02,,08,F,,,Y,,A,N,N,A,1,0,0,1,22107.0,1,39.01212423,-123.37186827,3
2011,2011-01-15,1830,1,4,18,6,N,B,Y,B,H,D,A,01,E,03,E,,,,,I,Y,N,D,2,0,0,0,22350.0,1,39.18059191,-123.71131663,4
2011,2011-01-14,926,1,4,9,5,N,A,N,A,H,A,A,01,N,06,B,,,,,C,Y,N,D,1,0,0,0,21755.0,3,39.19342898,-123.20685692,4
2011,2011-01-13,928,1,4,9,4,N,C,Y,B,H,A,D,22,E,03,D,,,,,C,Y,N,D,1,0,0,0,22350.0,2,38.97508618,-123.34540519,4
2011,2011-01-13,552,1,4,5,4,Y,B,Y,B,H,D,D,22,,09,D,,,,,C,Y,N,A,2,0,0,0,21802.0,2,39.24245505,-123.19565346,4
2011,2011-01-05,1721,1,4,17,3,N,A,N,A,H,B,D,,S,10,G,Y,,,,B,Y,N,A,1,1,0,0,21950.0,2,41.45741121,-122.89777876,4
2011,2011-01-01,2250,1,4,22,6,N,C,Y,B,H,D,A,01,S,08,E,,,,,I,Y,M,D,1,0,0,0,22107.0,1,39.2998898,-123.29210577,3
2011,2011-01-05,825,1,4,8,3,N,A,Y,B,H,A,A,01,N,03,E,,,,,I,Y,N,D,1,0,0,0,22350.0,1,39.30030094,-123.29383917,4
2011,2011-01-08,622,1,4,6,6,N,B,Y,C,H,D,A,01,E,03,E,,,,,I,N,N,D,1,0,0,0,22350.0,1,38.96881773,-123.02501463,4
2011,2011-01-06,1630,1,4,16,4,N,A,Y,B,H,B,D,22,W,03,E,,,,,I,Y,N,D,1,0,0,0,22350.0,1,39.35207104,-123.5613995,4
2011,2011-01-08,2230,1,4,22,6,N,A,Y,A,H,D,A,01,W,08,E,,,,,I,N,N,D,1,0,0,0,22107.0,1,39.40564658,-123.37124227,3
2011,2011-01-29,834,1,4,8,6,N,B,Y,A,H,A,A,01,E,03,F,,,,,I,Y,N,D,1,0,0,0,22350.0,1,39.71198625,-123.30040013,3
2011,2011-02-16,1122,2,4,11,3,N,C,Y,C,H,A,A,07,W,03,E,,,,,I,Y,N,D,1,0,0,0,22350.0,1,39.66483177,-123.3462393,4
