ACCIDENT_YEAR,COLLISION_DATE,COLLISION_TIME,MONTH,SEASON,24HOURS,DAY_OF_WEEK,INTERSECTION,WEATHER_1,STATE_HWY_IND,ROAD_SURFACE,ROAD_COND_1,LIGHTING,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,DIRECTION,PCF_VIOL_CATEGORY,TYPE_OF_COLLISION,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,MVIW,TOW_AWAY,HIT_AND_RUN,CONTROL_DEVICE,NUMBER_INJURED,COUNT_PED_INJURED,COUNT_BICYCLIST_INJURED,COUNT_MC_INJURED,PCF_VIOLATION,PARTY_COUNT,POINT_Y,POINT_X,COLLISION_SEVERITY
2011,2011-01-30,1100,1,4,11,7,-,B,Y,C,H,A,D,22,,03,B,,,,,C,Y,N,D,2,0,0,0,22350.0,2,37.65115522,-119.0017226,3
2011,2011-01-07,1729,1,4,17,5,Y,A,Y,C,H,C,D,22,,09,D,,,,,C,Y,N,D,1,0,0,0,21801.0,2,37.64873278,-118.97857875,4
2011,2011-01-02,1214,1,4,12,7,Y,B,N,C,H,A,D,22,,12,D,,,,,C,Y,N,A,1,0,0,0,22450.0,2,37.64015,-118.97097,4
2011,2011-01-01,1451,1,4,14,6,N,A,N,C,H,A,D,22,S,03,C,,,,,C,N,N,D,1,0,0,0,22350.0,3,37.6461629,-118.96591434,4
2011,2011-01-17,730,1,4,7,1,N,A,Y,C,H,B,D,22,S,03,E,,,,,I,Y,N,D,1,0,0,0,22350.0,1,38.18895266,-119.20533428,4
2011,2011-02-24,1535,2,4,15,4,N,-,N,-,-,-,-,- ,W,- ,-,,,,,-,Y,N,-,1,0,0,0,,2,37.64009702,-118.95932615,4
2011,2011-03-03,30,3,1,0,4,Y,D,N,C,H,D,N,60,,11,G,Y,,,,B,N,N,D,1,1,0,0,21954.0,3,37.640142,-118.976832,4
2011,2011-03-06,1255,3,1,12,7,N,B,Y,A,H,A,F,26,N,08,E,,,,Y,I,Y,N,D,1,0,0,0,22107.0,1,38.1777012,-119.1954613,3
2011,2011-02-09,30,2,4,0,3,N,D,N,B,A,D,D,22,N,03,B,,,,,I,Y,N,D,1,0,0,0,22350.0,1,37.64458264,-118.98287594,4
2011,2011-02-16,948,2,4,9,3,N,D,N,C,B,A,A,01,W,03,C,,,,,C,N,N,D,1,0,0,0,22350.0,2,37.64014614,-118.97167234,4
2011,2011-04-09,130,4,1,1,6,N,D,Y,C,G,D,D,22,S,03,F,,,,,J,Y,N,A,1,0,0,0,22350.0,1,37.55195922,-118.64227546,4
2011,2011-02-26,2500,2,4,25,6,N,A,N,B,H,A,-,- ,,00,G,Y,,,,B,N,N,D,1,1,0,0,,2,37.64141321,-118.99820045,4
2011,2011-03-24,1045,3,1,10,4,N,A,Y,C,H,A,A,07,S,03,F,,,,,A,Y,N,A,2,0,0,0,22350.0,1,37.90342689,-119.09446269,3
2011,2011-03-20,1803,3,1,18,7,N,D,Y,C,G,D,A,01,S,03,F,,,,,A,Y,N,D,4,0,0,0,22350.0,1,38.45670915,-119.45956045,3
2011,2011-03-29,1715,3,1,17,2,N,A,Y,A,B,A,A,01,E,03,C,,,,,C,Y,N,D,1,0,0,0,22350.0,2,37.64879376,-118.97713126,4
2011,2011-03-17,720,3,1,7,4,N,A,Y,A,H,A,-,- ,N,18,F,,,,,A,Y,N,D,1,0,0,0,,1,38.36968058,-119.44489681,4
2011,2011-05-09,1726,5,1,17,1,N,B,Y,C,H,A,A,07,N,03,E,,,,,I,Y,N,D,0,0,0,0,22350.0,1,37.83169523,-119.07236264,1
2011,2011-04-26,955,4,1,9,2,N,A,N,A,H,A,D,82,N,03,C,,,,,C,N,N,A,1,0,0,0,22350.0,2,37.64007,-118.96652,4
2011,2011-04-07,740,4,1,7,4,N,A,Y,C,G,A,A,07,N,03,A,,,,,I,Y,N,A,1,0,0,0,22350.0,1,37.66751007,-118.93304206,4
2011,2011-04-02,1904,4,1,19,6,N,C,Y,B,H,B,-,- ,N,18,F,,,,,J,Y,N,D,1,0,0,0,,1,37.65748853,-118.92537587,3
2011,2011-04-02,325,4,1,3,6,N,A,Y,A,H,D,-,- ,N,18,F,,,,,A,Y,N,D,2,0,0,0,,1,38.65398407,-119.53629453,2
2011,2011-04-21,615,4,1,6,4,N,D,Y,C,H,B,A,07,N,03,E,,,,,I,Y,N,D,5,0,0,0,22350.0,1,37.72692567,-118.96407011,3
2011,2011-05-09,2323,5,1,23,1,N,B,Y,B,H,D,A,07,N,01,F,,,,,I,Y,N,D,1,0,0,0,23152.0,1,37.92118529,-119.09787481,3
2011,2011-05-12,2239,5,1,22,4,N,A,Y,A,H,D,-,- ,N,18,H,,,,,H,Y,N,A,1,0,0,0,,1,37.63703617,-118.89567982,4
2011,2011-05-25,2045,5,1,20,3,N,A,Y,A,H,D,-,- ,N,18,F,,,,Y,A,Y,N,D,1,0,0,0,,1,38.05472414,-119.16561065,4
2011,2011-05-15,725,5,1,7,7,N,D,Y,C,H,B,D,22,S,03,F,,,,,I,Y,N,D,1,0,0,0,22350.0,1,37.69994467,-118.9492577,2
2011,2011-05-15,920,5,1,9,7,N,A,Y,A,H,A,A,01,N,08,E,,,,,I,Y,N,D,1,0,0,0,22107.0,1,37.62228541,-118.39487489,4
2011,2011-05-12,1215,5,1,12,4,N,A,Y,A,H,A,D,22,S,08,E,,,,,I,Y,N,D,1,0,0,0,22107.0,1,37.76252203,-119.10946345,4
2011,2011-06-02,1618,6,2,16,4,N,A,N,A,H,A,-,- ,,18,E,,,,,I,Y,N,D,1,0,0,0,,1,37.64508,-118.96614,2
2011,2011-05-20,720,5,1,7,5,N,A,N,A,H,A,A,07,S,01,G,Y,,,,B,N,F,D,1,1,0,0,23153.0,2,37.64636733,-118.9748624,4
2011,2011-06-04,620,6,2,6,6,N,A,Y,A,H,B,A,01,N,08,E,,,,,I,Y,N,D,2,0,0,0,22107.0,1,37.57638736,-118.75486655,3
2011,2011-06-26,1615,6,2,16,7,Y,A,Y,A,H,A,A,07,,09,D,,,,,C,Y,N,A,2,0,0,0,21802.0,2,37.95040524,-119.11335266,2
2011,2011-07-02,1155,7,2,11,6,N,A,N,A,H,A,D,22,S,09,B,,,,,C,N,N,D,1,0,0,0,21804.0,2,37.64628708,-118.96587081,4
2011,2011-07-13,1220,7,2,12,3,N,A,Y,A,H,A,D,22,W,01,H,,,,,A,Y,N,D,1,0,0,0,23152.0,1,38.34830712,-119.53825528,3
2011,2011-06-26,1235,6,2,12,7,N,A,Y,A,H,A,-,- ,N,18,F,,,,,J,Y,N,D,1,0,0,0,,1,38.25715643,-119.25482704,4
2011,2011-07-10,1105,7,2,11,7,N,A,Y,A,H,-,A,01,W,09,A,,,,,C,N,N,D,1,0,0,0,21801.0,2,37.9236645,-119.25587792,4
2011,2011-07-19,330,7,2,3,2,N,A,Y,A,H,D,-,- ,S,18,H,,,Y,,H,Y,N,D,1,0,0,1,,1,38.00725815,-119.15454503,4
