ACCIDENT_YEAR,COLLISION_DATE,COLLISION_TIME,MONTH,SEASON,24HOURS,DAY_OF_WEEK,INTERSECTION,WEATHER_1,STATE_HWY_IND,ROAD_SURFACE,ROAD_COND_1,LIGHTING,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,DIRECTION,PCF_VIOL_CATEGORY,TYPE_OF_COLLISION,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,MVIW,TOW_AWAY,HIT_AND_RUN,CONTROL_DEVICE,NUMBER_INJURED,COUNT_PED_INJURED,COUNT_BICYCLIST_INJURED,COUNT_MC_INJURED,PCF_VIOLATION,PARTY_COUNT,POINT_Y,POINT_X,COLLISION_SEVERITY
2011,2011-05-08,1518,5,1,15,7,N,A,Y,A,H,A,A,01,W,03,C,,,,,C,Y,N,A,1,0,0,0,22350.0,3,36.56975381,-121.75629068,4
2011,2011-05-02,1720,5,1,17,1,N,A,Y,A,H,A,A,08,W,21,C,,,,,C,N,N,D,1,0,0,0,22106.0,2,36.69639494,-121.70015294,4
2011,2011-05-05,802,5,1,8,4,N,A,Y,A,H,A,A,01,E,03,C,,,,,C,N,N,D,1,0,0,0,22350.0,2,36.76947854,-121.73970786,4
2011,2011-05-05,809,5,1,8,4,N,A,N,A,H,A,A,01,S,09,D,,,,,C,N,N,D,1,0,0,0,21804.0,2,36.77696828,-121.73854002,4
2011,2011-04-18,1733,4,1,17,1,N,B,N,A,H,A,-,- ,W,03,C,,,,,C,Y,N,D,2,0,0,0,22350.0,2,36.80175501,-121.66602629,4
2011,2011-04-27,1710,4,1,17,3,N,A,N,A,H,A,A,01,E,08,E,,,,,I,Y,N,D,1,0,0,0,22107.0,1,36.77844584,-121.64755959,4
2011,2011-04-26,920,4,1,9,2,N,A,N,A,H,A,-,- ,S,18,E,,,,,I,Y,N,D,1,0,0,0,,1,36.78559001,-121.61129694,4
2011,2011-04-28,637,4,1,6,4,N,A,N,A,H,A,C,02,E,08,E,,,Y,,J,N,N,D,1,0,0,1,22107.0,1,36.76096891,-121.7393897,4
2011,2011-04-30,1339,4,1,13,6,N,A,Y,A,H,A,A,01,S,01,E,,,,,I,Y,N,D,1,0,0,0,23152.0,2,36.67707878,-121.64121035,3
2011,2011-04-19,620,4,1,6,2,N,B,Y,B,H,A,A,01,W,08,F,,,,,A,Y,N,D,1,0,0,0,22107.0,1,36.78779255,-121.68002739,4
2011,2011-04-18,1318,4,1,13,1,Y,B,N,A,H,A,A,01,,09,D,,,,,C,Y,N,D,4,0,0,0,21804.0,2,36.87614188,-121.66359343,3
2011,2011-04-19,1330,4,1,13,2,N,A,N,A,H,A,C,02,W,03,-,,,Y,,C,N,N,-,2,0,0,2,22350.0,2,36.4485414,-121.68547472,3
2011,2011-04-06,649,4,1,6,3,Y,A,N,A,H,B,A,01,,04,C,,,,,C,N,N,A,1,0,0,0,21703.0,3,36.59988,-121.88352,4
2011,2011-05-18,530,5,1,5,3,N,C,N,B,H,B,A,01,S,03,C,,,,,C,Y,N,D,2,0,0,0,22350.0,3,36.62800096,-121.53446072,3
2011,2011-05-24,530,5,1,5,2,N,A,N,A,H,B,D,22,N,09,D,,,,,C,Y,N,D,1,0,0,0,21804.0,2,36.8302841,-121.66714475,3
2011,2011-05-18,1037,5,1,10,3,N,A,N,A,H,A,A,,W,03,C,,,,,C,N,N,A,1,0,0,0,22350.0,2,36.68492422,-121.79411048,4
