ACCIDENT_YEAR,COLLISION_DATE,COLLISION_TIME,MONTH,SEASON,24HOURS,DAY_OF_WEEK,INTERSECTION,WEATHER_1,STATE_HWY_IND,ROAD_SURFACE,ROAD_COND_1,LIGHTING,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,DIRECTION,PCF_VIOL_CATEGORY,TYPE_OF_COLLISION,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,MVIW,TOW_AWAY,HIT_AND_RUN,CONTROL_DEVICE,NUMBER_INJURED,COUNT_PED_INJURED,COUNT_BICYCLIST_INJURED,COUNT_MC_INJURED,PCF_VIOLATION,PARTY_COUNT,POINT_Y,POINT_X,COLLISION_SEVERITY
2011,2011-05-16,1510,5,1,15,1,N,C,Y,B,H,A,D,23,N,03,E,,,,,I,Y,N,D,1,0,0,0,22350.0,1,38.30971108,-122.30546282,4
2011,2011-05-18,653,5,1,6,3,N,B,Y,B,H,A,D,22,,05,A,,,,,C,Y,N,A,4,0,0,0,21650.0,2,38.31992504,-122.27233321,4
2011,2011-05-25,1231,5,1,12,3,Y,B,N,A,H,A,A,01,,03,C,,,,Y,C,N,N,A,1,0,0,0,22350.0,2,38.31937,-122.29891,4
2011,2011-05-22,2301,5,1,23,7,Y,A,Y,A,H,C,A,01,,17,C,,,,,C,N,N,A,1,0,0,0,21451.0,2,38.16556503,-122.25291318,4
2011,2011-05-03,1540,5,1,15,2,N,A,N,A,H,A,A,01,S,09,D,,,,,C,Y,N,D,1,0,0,0,21804.0,2,38.31413476,-122.30719038,4
2011,2011-04-29,725,4,1,7,5,N,A,Y,A,H,A,A,01,N,03,C,,,,,C,Y,N,A,1,0,0,0,22350.0,2,38.32829504,-122.27111321,4
2011,2011-04-30,1205,4,1,12,6,N,A,Y,A,H,A,A,01,W,03,C,,,,,C,Y,N,D,2,0,0,0,22350.0,3,38.2162146,-122.22314611,4
2011,2011-04-30,1650,4,1,16,6,Y,A,Y,A,H,A,C,02,,21,F,,,Y,,A,Y,N,A,1,0,0,1,22106.0,1,38.28799273,-122.27519628,4
2011,2011-04-30,1800,4,1,18,6,N,A,Y,A,H,A,A,01,S,03,C,,,,,C,Y,N,D,2,0,0,0,22350.0,2,38.45621614,-122.42042097,4
2011,2011-04-25,1933,4,1,19,1,Y,A,Y,A,H,A,A,01,,09,D,,,,,C,Y,N,D,3,0,0,0,21801.0,2,38.25510871,-122.33310673,3
