ACCIDENT_YEAR,COLLISION_DATE,COLLISION_TIME,MONTH,SEASON,24HOURS,DAY_OF_WEEK,INTERSECTION,WEATHER_1,STATE_HWY_IND,ROAD_SURFACE,ROAD_COND_1,LIGHTING,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,DIRECTION,PCF_VIOL_CATEGORY,TYPE_OF_COLLISION,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,MVIW,TOW_AWAY,HIT_AND_RUN,CONTROL_DEVICE,NUMBER_INJURED,COUNT_PED_INJURED,COUNT_BICYCLIST_INJURED,COUNT_MC_INJURED,PCF_VIOLATION,PARTY_COUNT,POINT_Y,POINT_X,COLLISION_SEVERITY
2011,2011-10-29,1055,10,3,10,6,N,A,N,A,H,A,A,01,N,09,D,,,,,C,Y,N,A,1,0,0,0,21801.0,2,39.04607103,-121.07433304,4
2011,2011-05-29,543,5,1,5,7,N,A,Y,C,H,A,D,23,E,03,E,,,,,I,Y,N,D,2,0,0,0,22350.0,1,39.39812015,-120.02231241,4
2011,2011-05-25,1620,5,1,16,3,N,D,Y,C,D,A,A,01,W,03,C,,,,,C,Y,N,D,1,0,0,0,22350.0,5,39.32454773,-120.19553543,4
2011,2011-01-02,1553,1,4,15,7,N,B,Y,B,H,A,A,01,W,03,C,,,,,C,Y,N,D,3,0,0,0,22350.0,2,39.32547558,-120.3925474,4
2011,2011-02-15,2030,2,4,20,2,N,B,Y,B,H,D,-,- ,S,00,G,Y,,,,B,N,F,D,0,0,0,0,,3,39.3672209,-121.10894875,1
2011,2011-01-30,940,1,4,9,7,N,D,Y,C,H,A,A,07,W,08,E,,,,,I,Y,N,A,1,0,0,0,22107.0,1,39.330191,-120.18749021,4
2011,2011-01-05,1243,1,4,12,3,N,A,N,C,H,A,A,01,W,03,E,,,,,I,Y,N,D,1,0,0,0,22350.0,1,39.25505881,-121.13530755,3
2011,2011-01-16,1545,1,4,15,7,N,A,Y,A,H,A,A,01,S,05,A,,,,,C,Y,N,A,6,0,0,0,21651.0,3,39.16964882,-121.05495729,2
2011,2011-02-11,735,2,4,7,5,N,A,N,A,H,A,-,- ,S,18,H,,,,Y,J,N,N,D,1,0,0,0,,1,39.2702094,-120.9979882,4
2011,2011-01-02,1020,1,4,10,7,N,B,N,C,H,A,A,07,W,03,A,,,,,C,Y,N,D,4,0,0,0,22350.0,2,39.32420066,-120.16885225,3
2011,2011-01-04,1450,1,4,14,2,N,A,Y,B,H,A,A,01,E,08,E,,,,,I,Y,N,D,1,0,0,0,22107.0,2,39.33014232,-120.58714686,2
2011,2011-01-04,1445,1,4,14,2,N,A,Y,B,H,A,A,01,E,03,E,,,,,I,Y,N,D,1,0,0,0,22350.0,1,39.33014232,-120.58714686,4
2011,2011-01-04,1320,1,4,13,2,N,A,Y,B,H,A,D,22,E,08,E,,,,,I,Y,N,D,2,0,0,0,22107.0,1,39.33014232,-120.58714686,4
2011,2011-01-12,1739,1,4,17,3,Y,A,N,A,H,C,-,- ,,12,B,,,,,C,N,N,A,1,0,0,0,21453.0,2,,,4
2011,2011-02-17,2245,2,4,22,4,N,D,Y,C,H,D,G,26,E,08,E,,,,Y,J,Y,N,A,2,0,0,0,22107.0,2,39.37885437,-120.10108041,3
2011,2011-02-16,850,2,4,8,3,N,B,Y,C,H,A,G,25,W,04,C,,,,Y,C,Y,N,A,1,0,0,0,21703.0,3,39.3655553,-120.11613299,4
2011,2011-01-02,1400,1,4,14,7,N,B,N,B,H,A,A,01,S,01,E,,,,,I,Y,N,D,1,0,0,0,23152.0,1,39.27008119,-120.98992596,3
