ACCIDENT_YEAR,COLLISION_DATE,COLLISION_TIME,MONTH,SEASON,24HOURS,DAY_OF_WEEK,INTERSECTION,WEATHER_1,STATE_HWY_IND,ROAD_SURFACE,ROAD_COND_1,LIGHTING,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,DIRECTION,PCF_VIOL_CATEGORY,TYPE_OF_COLLISION,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,MVIW,TOW_AWAY,HIT_AND_RUN,CONTROL_DEVICE,NUMBER_INJURED,COUNT_PED_INJURED,COUNT_BICYCLIST_INJURED,COUNT_MC_INJURED,PCF_VIOLATION,PARTY_COUNT,POINT_Y,POINT_X,COLLISION_SEVERITY
2011,2011-04-10,715,4,1,7,7,N,A,Y,A,H,A,A,01,S,01,E,,,,,I,Y,N,D,1,0,0,0,23152.0,1,39.27344425,-120.10007415,3
2011,2011-03-24,2028,3,1,20,4,N,A,Y,C,H,D,A,01,W,08,E,,,,,I,Y,N,D,1,0,0,0,22107.0,1,39.01768447,-120.98471611,3
2011,2011-03-25,1720,3,1,17,5,Y,C,Y,B,H,A,A,01,,09,D,,,,,C,Y,N,D,1,0,0,0,21802.0,2,39.0312552,-120.97629309,4
2011,2011-05-22,1430,5,1,14,7,N,A,N,A,H,A,D,22,S,17,F,,,,,A,Y,N,D,1,0,0,0,21662.0,1,39.08963656,-120.94805092,3
2011,2011-05-03,1235,5,1,12,2,Y,A,N,A,H,A,A,01,,09,A,,,,,C,Y,N,D,2,0,0,0,21800.0,2,38.78503,-121.19204,2
2011,2011-05-12,1615,5,1,16,4,N,A,N,A,H,A,A,01,E,03,C,,,,,C,Y,N,D,2,0,0,0,22350.0,2,38.80197226,-121.27071349,4
2011,2011-04-04,2110,4,1,21,1,Y,A,N,A,H,C,-,- ,,12,A,,,,,C,Y,N,A,1,0,0,0,21453.0,2,38.86991843,-121.29919946,4
2011,2011-05-03,1700,5,1,17,2,N,A,Y,A,H,A,A,01,S,03,C,,,,,C,N,N,A,2,0,0,0,22350.0,2,38.8772141,-121.29625353,3
2011,2011-05-28,1355,5,1,13,6,N,B,N,A,H,A,A,01,N,12,D,,,,,C,Y,N,A,2,0,0,0,21453.0,2,38.89176712,-121.31357397,4
2011,2011-06-01,1721,6,2,17,3,N,B,N,B,H,A,D,72,S,03,C,,,,,C,Y,N,A,2,0,0,0,22350.0,3,38.77713654,-121.24727153,4
2011,2011-05-09,1845,5,1,18,1,N,A,N,A,H,A,A,07,W,03,E,,,,,I,Y,N,D,1,0,0,0,22350.0,1,,,4
2011,2011-01-07,1225,1,4,12,5,Y,B,N,A,H,A,A,01,,09,D,,,,,C,Y,N,A,2,0,0,0,21453.0,2,38.78842,-121.22637,4
2011,2011-01-05,1445,1,4,14,3,N,A,Y,A,H,A,A,07,W,07,B,,,,Y,C,Y,N,D,1,0,0,0,21658.0,2,38.9841152,-121.00664422,3
2011,2011-02-13,100,2,4,1,7,N,A,Y,A,H,D,N,60,S,11,G,Y,,,,B,Y,N,D,0,0,0,0,21954.0,2,38.7742264,-121.2584507,1
2011,2011-02-05,2025,2,4,20,6,N,B,Y,A,H,D,C,02,E,08,E,,,Y,,I,N,N,D,0,0,0,0,22107.0,1,38.88654267,-121.20675659,1
2011,2011-03-17,700,3,1,7,4,N,A,Y,C,H,A,D,22,E,03,G,Y,,,,B,Y,N,D,1,0,0,0,22350.0,2,39.26179777,-120.72852549,1
2011,2011-02-08,1043,2,4,10,2,N,A,N,A,H,A,C,02,S,08,F,,,Y,,A,Y,N,D,0,0,0,0,22107.0,1,38.87173289,-121.2373673,1
2011,2011-03-18,1327,3,1,13,5,N,D,Y,C,H,A,G,25,E,03,C,Y,,,Y,C,Y,N,D,0,0,0,0,22350.0,5,39.30934816,-120.64134169,1
2011,2011-02-17,1445,2,4,14,4,Y,B,Y,B,H,A,D,22,,09,D,,,,,C,Y,N,A,1,0,0,0,21804.0,2,38.96837342,-121.1048113,1
2011,2011-01-01,1145,1,4,11,6,N,D,Y,C,H,A,A,01,W,03,C,,,,Y,E,Y,N,A,1,0,0,0,22350.0,2,39.28589159,-120.69901121,4
2011,2011-01-01,500,1,4,5,6,N,D,Y,C,H,D,A,01,N,08,E,,,,,I,Y,N,D,1,0,0,0,22107.0,1,39.12358603,-120.95758893,4
2011,2011-01-11,2250,1,4,22,2,N,D,Y,C,H,D,G,25,W,03,C,,,,Y,C,Y,N,D,1,0,0,0,22350.0,2,39.28032317,-120.71225187,2
2011,2011-01-24,1525,1,4,15,1,N,B,Y,A,H,A,A,08,W,07,C,,,,,C,Y,N,D,1,0,0,0,21658.0,2,38.8231763,-121.18127157,4
2011,2011-01-28,1520,1,4,15,5,N,A,Y,A,H,A,A,07,E,03,C,,,,,C,N,N,D,2,0,0,0,22350.0,3,38.84620617,-121.15364193,4
2011,2011-01-22,1630,1,4,16,6,N,A,Y,A,D,A,A,01,E,07,C,,,,,C,Y,N,D,1,0,0,0,21658.0,2,38.76624362,-121.2543751,4
2011,2011-01-28,800,1,4,8,5,Y,E,N,A,H,A,A,01,,03,E,,,,,I,Y,N,A,2,0,0,0,22350.0,1,38.91234,-121.21925,4
2011,2011-01-21,1305,1,4,13,5,N,A,Y,A,H,A,A,07,S,03,C,,,,,C,Y,N,D,1,0,0,0,22350.0,2,38.77294608,-121.25436711,4
2011,2011-01-28,630,1,4,6,5,N,B,N,B,H,D,A,07,N,03,E,,,,,I,Y,N,A,1,0,0,0,22350.0,1,38.91919897,-121.2783113,3
2011,2011-01-04,1005,1,4,10,2,N,A,N,A,H,A,A,01,S,08,E,,,,,I,Y,N,D,2,0,0,0,22107.0,1,38.99842104,-120.98343334,3
2011,2011-01-23,2330,1,4,23,7,N,A,N,A,H,C,A,01,E,01,E,,,,,E,Y,M,D,1,0,0,0,23152.0,4,38.9476824,-121.09969739,3
2011,2011-01-20,1220,1,4,12,4,N,A,Y,A,H,A,A,01,E,03,C,,,,,C,N,N,A,1,0,0,0,22350.0,3,38.94207635,-121.09704839,4
2011,2011-01-12,700,1,4,7,3,Y,B,Y,B,H,B,D,22,,12,A,,,,,C,Y,N,A,2,0,0,0,21453.0,2,38.92058297,-121.08229699,3
2011,2011-01-15,1811,1,4,18,6,N,A,N,A,H,C,J,48,E,03,C,,,,,C,Y,N,A,1,0,0,0,22350.0,2,38.7289074,-121.34790838,4
2011,2011-01-17,1705,1,4,17,1,N,B,Y,A,H,C,A,01,S,03,C,,,,,C,Y,N,D,1,0,0,0,22350.0,2,38.77370413,-121.257579,4
2011,2011-01-24,1350,1,4,13,1,N,A,Y,A,D,A,A,01,E,03,C,,,,,C,N,N,D,1,0,0,0,22350.0,2,38.77104993,-121.24706225,4
2011,2011-02-01,1755,2,4,17,2,N,A,N,A,H,C,A,01,S,08,D,,,,,C,Y,N,A,1,0,0,0,22107.0,3,38.94606419,-121.04730361,4
2011,2011-01-09,1420,1,4,14,7,N,A,N,A,H,A,A,01,S,03,C,,,,,C,N,N,A,1,0,0,0,22350.0,2,38.72883946,-121.39249444,4
