ACCIDENT_YEAR,COLLISION_DATE,COLLISION_TIME,MONTH,SEASON,24HOURS,DAY_OF_WEEK,INTERSECTION,WEATHER_1,STATE_HWY_IND,ROAD_SURFACE,ROAD_COND_1,LIGHTING,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,DIRECTION,PCF_VIOL_CATEGORY,TYPE_OF_COLLISION,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,MVIW,TOW_AWAY,HIT_AND_RUN,CONTROL_DEVICE,NUMBER_INJURED,COUNT_PED_INJURED,COUNT_BICYCLIST_INJURED,COUNT_MC_INJURED,PCF_VIOLATION,PARTY_COUNT,POINT_Y,POINT_X,COLLISION_SEVERITY
2011,2011-03-27,1225,3,1,12,7,Y,B,Y,A,H,A,A,01,,08,D,,,,,C,Y,N,A,5,0,0,0,22100.0,4,36.89543498,-121.42712291,2
2011,2011-05-31,1235,5,1,12,2,Y,B,Y,A,H,A,A,01,,09,D,,,,,C,N,N,A,1,0,0,0,21802.0,2,36.86470862,-121.40221278,4
2011,2011-05-12,1825,5,1,18,4,Y,A,Y,A,H,A,-,- ,,- ,H,,,,,A,N,N,A,1,0,0,0,,1,36.84076456,-121.53362841,4
2011,2011-04-28,615,4,1,6,4,N,A,N,A,H,B,D,22,N,08,E,,,,,I,Y,N,D,1,0,0,0,22107.0,1,36.75204951,-121.38770284,2
2011,2011-05-07,1015,5,1,10,6,N,A,Y,A,H,A,A,01,N,03,C,,,,Y,C,N,N,D,2,0,0,0,22350.0,2,36.88758241,-121.55877839,3
2011,2011-04-28,942,4,1,9,4,Y,A,N,A,H,A,A,01,,09,D,,,,,C,Y,N,D,1,0,0,0,21804.0,2,36.86824,-121.36368,2
2011,2011-04-24,532,4,1,5,7,N,B,Y,A,H,D,D,22,S,07,B,,,,,C,Y,M,D,1,0,0,0,21658.0,2,36.89656896,-121.55631418,3
2011,2011-02-03,1800,2,4,18,4,N,A,N,A,H,A,D,22,S,03,F,,,,,A,Y,N,D,1,0,0,0,22350.0,1,36.83535527,-121.53183605,1
2011,2011-01-17,1803,1,4,18,1,N,A,Y,A,H,D,A,01,N,07,B,,,,Y,C,Y,N,D,1,0,0,0,21658.0,2,36.85985944,-121.60405524,4
2011,2011-01-26,315,1,4,3,3,N,A,N,A,H,D,A,01,N,01,E,,,,,I,Y,N,D,2,0,0,0,23152.0,1,36.88064572,-121.36369353,3
2011,2011-01-12,825,1,4,8,3,Y,A,N,A,H,A,D,22,,09,D,,,,,C,Y,N,A,1,0,0,0,21802.0,3,36.90226,-121.36365,4
2011,2011-01-20,1640,1,4,16,4,N,A,N,A,H,A,-,- ,E,08,E,,,,,I,Y,N,D,1,0,0,0,22107.0,1,36.89416129,-121.38460907,4
2011,2011-01-09,2230,1,4,22,7,N,A,Y,A,H,C,A,01,N,08,F,,,,,A,Y,N,D,1,0,0,0,22107.0,1,36.88650456,-121.55939695,2
2011,2011-02-12,1855,2,4,18,6,N,A,N,A,H,D,C,02,S,03,E,,,Y,,I,Y,N,D,2,0,0,2,22350.0,1,36.82681393,-121.38657301,3
2011,2011-02-14,955,2,4,9,1,N,C,Y,B,H,A,A,01,S,03,E,,,,,I,Y,N,D,1,0,0,0,22350.0,1,36.86045928,-121.60910589,3
2011,2011-01-27,1112,1,4,11,4,N,A,N,A,H,A,A,01,N,03,C,,,,,C,Y,N,D,2,0,0,0,22350.0,2,36.85658533,-121.3636729,3
2011,2011-02-03,830,2,4,8,4,N,A,N,A,H,A,A,01,N,08,E,,,,,I,Y,N,D,1,0,0,0,22107.0,1,36.81967949,-121.40107736,4
2011,2011-02-07,445,2,4,4,1,N,A,Y,A,H,D,A,01,N,08,E,,,,,I,Y,N,D,1,0,0,0,22107.0,1,36.567256,-121.18386349,2
2011,2011-02-16,815,2,4,8,3,Y,C,Y,B,H,A,A,08,,09,D,,,,Y,C,Y,N,A,2,0,0,0,21453.0,2,36.85394675,-121.40197812,3
2011,2011-03-11,807,3,1,8,5,Y,A,Y,A,H,A,D,22,,03,C,,,,,C,N,N,A,1,0,0,0,22350.0,3,36.84076456,-121.53362841,4
2011,2011-02-20,740,2,4,7,7,N,A,Y,A,H,A,A,01,S,03,E,,,,,I,Y,N,D,2,0,0,0,22350.0,1,36.86119906,-121.61059591,4
2011,2011-02-15,1343,2,4,13,2,N,A,N,A,H,A,L,,S,- ,B,,Y,,,G,N,N,D,1,0,1,0,,2,36.84798802,-121.40219565,3
