ACCIDENT_YEAR,COLLISION_DATE,COLLISION_TIME,MONTH,SEASON,24HOURS,DAY_OF_WEEK,INTERSECTION,WEATHER_1,STATE_HWY_IND,ROAD_SURFACE,ROAD_COND_1,LIGHTING,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,DIRECTION,PCF_VIOL_CATEGORY,TYPE_OF_COLLISION,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,MVIW,TOW_AWAY,HIT_AND_RUN,CONTROL_DEVICE,NUMBER_INJURED,COUNT_PED_INJURED,COUNT_BICYCLIST_INJURED,COUNT_MC_INJURED,PCF_VIOLATION,PARTY_COUNT,POINT_Y,POINT_X,COLLISION_SEVERITY
2011,2011-10-26,1310,10,3,13,3,N,A,N,A,H,A,L,04,S,05,D,,Y,,,G,N,N,D,1,0,1,0,21650.0,2,38.13763787,-121.28843183,3
2011,2011-04-03,1004,4,1,10,7,Y,A,N,A,H,A,A,01,,01,E,,,,,I,Y,N,D,1,0,0,0,23152.0,1,38.01907,-121.2606,3
2011,2011-04-03,1448,4,1,14,7,N,A,Y,A,H,A,A,01,W,03,E,,,,,I,Y,N,D,1,0,0,0,22350.0,1,37.95238323,-121.27580118,3
2011,2011-04-04,1645,4,1,16,1,N,A,N,A,H,A,A,01,S,03,C,,,,,C,N,F,D,2,0,0,0,22350.0,2,37.99426866,-121.2575965,4
2011,2011-02-16,1745,2,4,17,3,Y,B,N,B,H,C,A,01,,09,D,,,,,C,Y,N,A,2,0,0,0,21801.0,2,37.98059,-121.30726,3
2011,2011-02-18,1604,2,4,16,5,Y,C,N,B,H,A,A,01,,09,D,,,,,C,Y,N,A,1,0,0,0,21802.0,2,38.016407,-121.322365,4
2011,2011-02-23,854,2,4,8,3,N,A,N,A,H,A,A,01,E,03,C,,Y,,,G,,N,D,1,0,1,0,22350.0,2,37.99619543,-121.32460668,3
2011,2011-02-18,1838,2,4,18,5,N,C,N,B,H,C,A,01,W,03,C,,,,,C,Y,N,D,1,0,0,0,22350.0,2,37.98643508,-121.35689183,4
2011,2011-02-16,1116,2,4,11,3,Y,B,N,B,H,A,-,- ,,00,D,,,,,C,,F,D,3,0,0,0,,2,37.94722,-121.28555,4
2011,2011-02-18,2311,2,4,23,5,Y,C,N,B,H,C,A,01,,09,A,,,,,C,Y,F,A,1,0,0,0,21801.0,2,37.95657,-121.28536,4
2011,2011-02-16,1354,2,4,13,3,N,A,N,A,H,A,A,01,S,21,H,,,,,C,,N,D,1,0,0,0,22106.0,2,37.96007651,-121.30677877,4
2011,2011-02-19,1326,2,4,13,6,N,B,N,A,H,A,A,01,W,03,C,,,,,C,,N,A,1,0,0,0,22350.0,2,38.00497953,-121.35348534,4
2011,2011-02-16,1730,2,4,17,3,N,B,N,A,H,A,A,08,E,03,C,,,,,C,Y,N,A,3,0,0,0,22350.0,2,38.01122774,-121.31991012,4
2011,2011-02-20,55,2,4,0,7,Y,B,N,A,H,C,A,01,,01,D,,,,,C,,N,A,2,0,0,0,23152.0,2,38.0051,-121.3564,4
2011,2011-02-18,856,2,4,8,5,Y,C,N,B,H,A,A,08,,12,D,,,,,C,Y,N,A,1,0,0,0,21453.0,2,37.95844,-121.2927,3
2011,2011-02-16,1826,2,4,18,3,N,B,N,A,H,C,A,08,W,03,C,,,,,C,Y,N,A,1,0,0,0,22350.0,2,38.02115612,-121.26464364,4
2011,2011-02-16,2021,2,4,20,3,Y,B,N,A,H,C,-,- ,W,12,D,,,,,C,Y,N,A,1,0,0,0,21453.0,2,37.95482,-121.27126,4
