ACCIDENT_YEAR,COLLISION_DATE,COLLISION_TIME,MONTH,SEASON,24HOURS,DAY_OF_WEEK,INTERSECTION,WEATHER_1,STATE_HWY_IND,ROAD_SURFACE,ROAD_COND_1,LIGHTING,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,DIRECTION,PCF_VIOL_CATEGORY,TYPE_OF_COLLISION,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,MVIW,TOW_AWAY,HIT_AND_RUN,CONTROL_DEVICE,NUMBER_INJURED,COUNT_PED_INJURED,COUNT_BICYCLIST_INJURED,COUNT_MC_INJURED,PCF_VIOLATION,PARTY_COUNT,POINT_Y,POINT_X,COLLISION_SEVERITY
2011,2011-08-31,1310,8,2,13,3,N,A,N,A,H,A,L,04,W,17,D,,Y,,,G,N,N,D,1,0,1,0,21208.0,2,35.27757011,-120.66681902,4
2011,2011-04-09,1717,4,1,17,6,Y,A,N,A,H,A,C,02,,01,E,,,Y,,I,Y,N,A,2,0,0,2,23152.0,1,35.27586,-120.6617715,3
2011,2011-04-01,47,4,1,0,5,N,A,N,A,H,C,A,01,E,08,C,,,,,E,Y,M,A,1,0,0,0,22107.0,2,35.27300257,-120.66448424,4
2011,2011-04-06,1032,4,1,10,3,N,A,N,A,H,A,L,04,N,05,D,,Y,,,G,N,N,A,1,0,1,0,21650.0,2,35.28189349,-120.65484482,3
2011,2011-04-04,958,4,1,9,1,Y,A,N,A,H,A,A,01,,09,D,,,,,C,Y,N,D,2,0,0,0,21801.0,2,35.268507,-120.6555165,3
2011,2011-03-30,103,3,1,1,3,N,A,N,A,H,C,L,04,S,17,H,,Y,,,G,N,N,D,1,0,1,0,21208.0,1,35.27701577,-120.64876933,3
2011,2011-03-30,755,3,1,7,3,N,A,N,A,H,A,A,01,W,03,C,,,,,C,N,N,A,1,0,0,0,22350.0,2,35.29407646,-120.66960186,4
2011,2011-03-31,818,3,1,8,4,Y,A,N,A,H,A,A,01,,09,D,,,,,C,Y,N,A,1,0,0,0,21801.0,2,35.294139,-120.683502,3
2011,2011-03-25,1609,3,1,16,5,N,A,N,A,H,A,-,- ,E,00,H,,Y,,,J,N,N,D,1,0,1,0,,1,35.28300038,-120.65760834,3
2011,2011-05-27,1712,5,1,17,5,N,A,N,A,H,A,D,22,S,01,E,,,,,I,Y,N,D,2,0,0,0,23152.0,1,35.25928242,-120.64706326,3
2011,2011-04-25,2245,4,1,22,1,Y,A,N,A,H,C,A,07,,01,D,,,,,C,Y,N,A,1,0,0,0,23152.0,3,,,4
2011,2011-05-05,2024,5,1,20,4,Y,A,N,A,H,C,L,04,,14,D,,Y,,,G,N,N,D,1,0,1,0,21201.0,2,35.283807,-120.666339,3
2011,2011-05-05,1306,5,1,13,4,Y,A,N,A,H,A,A,01,,08,H,,,Y,,J,N,F,A,1,0,0,1,22100.0,2,35.27984,-120.66102,3
2011,2011-05-04,1830,5,1,18,3,Y,A,Y,A,H,A,A,01,,09,D,,,,,C,Y,N,A,2,0,0,0,21802.0,2,35.69336671,-120.69657426,2
2011,2011-05-06,1700,5,1,17,5,N,A,N,A,H,A,-,- ,S,- ,D,,Y,,,G,N,N,A,1,0,1,0,,2,35.27135485,-120.67005624,3
2011,2011-05-18,951,5,1,9,3,N,B,Y,A,H,A,A,07,S,08,B,,Y,,,G,N,N,A,1,0,1,0,21717.0,2,35.28569803,-120.66335563,3
2011,2011-05-06,930,5,1,9,5,N,A,Y,A,H,A,C,02,N,08,E,,,Y,,I,Y,N,D,1,0,0,1,22107.0,1,35.44073757,-120.54454334,2
2011,2011-05-20,1810,5,1,18,5,N,A,Y,A,H,A,D,22,N,03,C,,,,,C,Y,N,D,1,0,0,0,22350.0,2,35.5739804,-120.69777592,4
2011,2011-05-16,1840,5,1,18,1,N,B,N,B,H,A,D,22,W,08,F,,,,,A,Y,N,D,2,0,0,0,22107.0,1,35.63810409,-120.59600383,2
2011,2011-05-20,1535,5,1,15,5,N,A,Y,A,H,A,F,26,S,08,B,,,,Y,E,Y,N,D,1,0,0,0,22107.0,3,35.56174799,-120.70521671,3
2011,2011-05-24,818,5,1,8,2,N,A,Y,A,H,A,A,01,E,03,C,,,,,C,Y,N,D,1,0,0,0,22350.0,2,35.58616688,-120.70682785,4
2011,2011-04-05,737,4,1,7,2,N,A,N,A,H,A,-,- ,S,10,G,Y,,,,B,N,N,A,1,1,0,0,21950.0,2,,,4
2011,2011-04-04,1948,4,1,19,1,Y,A,N,A,H,C,-,,,17,D,,Y,,,G,N,N,A,1,0,1,0,21200.0,2,35.4881,-120.66788,3
2011,2011-04-06,2038,4,1,20,3,Y,A,N,A,H,D,-,- ,,10,G,Y,,,,B,N,N,A,1,1,0,0,21950.0,2,35.489385,-120.6650115,4
2011,2011-03-26,1735,3,1,17,6,Y,C,N,B,H,A,-,- ,,09,D,,,,,C,Y,N,A,1,0,0,0,21802.0,2,35.49255,-120.66828,4
2011,2011-03-31,2156,3,1,21,4,N,A,N,A,H,D,-,- ,E,01,E,,,,,I,Y,N,A,1,0,0,0,23152.0,1,35.49674821,-120.67703423,3
2011,2011-03-27,225,3,1,2,7,N,C,Y,B,H,D,-,- ,W,01,E,,,,,I,Y,N,A,1,0,0,0,23152.0,1,35.46026983,-120.73553116,3
2011,2011-03-31,1106,3,1,11,4,N,A,N,A,H,A,-,- ,S,03,C,,,,,C,Y,N,A,1,0,0,0,22350.0,2,35.50606074,-120.66729871,4
2011,2011-04-06,955,4,1,9,3,N,A,N,A,H,A,-,- ,N,03,C,,,,,C,N,N,A,2,0,0,0,22350.0,3,35.135803,-120.62242676,4
2011,2011-04-01,1516,4,1,15,5,Y,A,N,A,H,A,-,- ,,08,B,,Y,,,G,N,N,D,1,0,1,0,22107.0,2,35.15867,-120.67476,4
2011,2011-04-09,1155,4,1,11,6,N,A,Y,A,H,A,-,- ,N,03,C,,,,,C,Y,N,A,2,0,0,0,22350.0,2,35.13475743,-120.63654353,4
2011,2011-04-17,1100,4,1,11,7,Y,A,Y,A,H,A,-,- ,,08,D,,,,,C,Y,N,D,2,0,0,0,22107.0,2,35.13864486,-120.63368262,4
2011,2011-05-07,1510,5,1,15,6,Y,A,Y,A,H,A,L,04,,22,H,,Y,,,J,N,N,D,1,0,1,0,,1,35.1430366,-120.64353853,3
2011,2011-03-03,1849,3,1,18,4,Y,A,Y,A,H,C,-,- ,,17,D,,,,,C,Y,N,A,1,0,0,0,21451.0,2,35.13087486,-120.60968261,4
2011,2011-03-20,1550,3,1,15,7,Y,A,N,A,H,A,-,- ,,03,C,,,,,C,N,N,A,1,0,0,0,22350.0,2,35.13573,-120.62225,4
2011,2011-01-07,1228,1,4,12,5,N,A,Y,A,H,A,A,01,N,03,C,,,,Y,C,Y,N,D,1,0,0,0,22350.0,2,35.36406112,-120.6382467,3
2011,2011-02-17,1809,2,4,18,4,N,B,Y,A,H,D,A,01,E,08,A,,,,Y,C,Y,N,D,1,0,0,0,22107.0,2,35.06404502,-119.97626108,1
2011,2011-02-20,2330,2,4,23,7,N,A,Y,A,H,D,A,01,S,08,F,,,,,A,Y,N,D,0,0,0,0,22107.0,1,35.71864635,-120.69643131,1
2011,2011-03-01,2310,3,1,23,2,N,A,N,A,H,D,C,02,N,03,E,,,Y,,I,Y,N,D,0,0,0,0,22350.0,1,35.47161253,-120.67581676,1
2011,2011-01-07,1521,1,4,15,5,N,A,N,A,H,A,L,04,W,01,H,,Y,,Y,G,N,N,D,0,0,0,0,21200.0,2,35.25508817,-120.67023933,1
2011,2011-03-17,406,3,1,4,4,N,A,Y,A,H,D,A,01,S,03,E,,,,,I,Y,N,D,0,0,0,0,22350.0,1,35.38191489,-120.63141264,1
2011,2011-02-01,603,2,4,6,2,N,A,N,A,H,D,-,99,E,08,G,Y,,,,B,N,N,D,0,0,0,0,22107.0,2,35.00502393,-120.4538995,1
2011,2011-01-07,1435,1,4,14,5,N,-,Y,-,-,-,A,07,N,03,C,,,,Y,C,Y,N,D,2,0,0,0,22350.0,2,35.35240599,-120.63429442,3
2011,2011-01-25,945,1,4,9,2,N,A,Y,A,H,A,-,99,S,08,H,,,,Y,A,N,M,D,1,0,0,0,22107.0,2,35.2827309,-120.66826211,4
2011,2011-01-13,35,1,4,0,4,N,A,N,A,H,D,A,07,N,01,F,,,,,I,Y,N,D,3,0,0,0,23152.0,1,35.08503292,-120.59086847,3
