ACCIDENT_YEAR,COLLISION_DATE,COLLISION_TIME,MONTH,SEASON,24HOURS,DAY_OF_WEEK,INTERSECTION,WEATHER_1,STATE_HWY_IND,ROAD_SURFACE,ROAD_COND_1,LIGHTING,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,DIRECTION,PCF_VIOL_CATEGORY,TYPE_OF_COLLISION,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,MVIW,TOW_AWAY,HIT_AND_RUN,CONTROL_DEVICE,NUMBER_INJURED,COUNT_PED_INJURED,COUNT_BICYCLIST_INJURED,COUNT_MC_INJURED,PCF_VIOLATION,PARTY_COUNT,POINT_Y,POINT_X,COLLISION_SEVERITY
2011,2011-07-31,1910,7,2,19,7,Y,A,N,A,H,A,A,07,,- ,E,,,,,I,Y,N,D,1,0,0,0,,1,37.6623,-122.4022995,4
2011,2011-09-11,1200,9,3,12,7,-,A,N,A,H,A,-,- ,,18,D,,Y,,,H,N,N,A,1,0,1,0,,1,,,3
2011,2011-11-20,430,11,3,4,7,Y,A,Y,A,H,C,-,- ,,12,D,,,,,C,N,F,A,2,0,0,0,21453.0,2,37.64961497,-122.45236316,4
2011,2011-05-10,1220,5,1,12,2,Y,A,Y,A,H,A,D,73,,- ,C,,,,,C,N,N,A,2,0,0,0,,3,37.56171498,-122.27623312,4
2011,2011-05-09,732,5,1,7,1,N,A,Y,A,H,A,D,22,W,03,C,,,,,C,Y,N,A,1,0,0,0,22350.0,2,37.47173314,-122.2229228,4
2011,2011-04-17,1827,4,1,18,7,N,B,N,A,H,A,I,09,,13,D,,,,,E,N,N,D,1,0,0,0,22515.0,3,37.70669,-122.45895,4
2011,2011-04-06,1535,4,1,15,3,Y,A,N,A,H,A,A,01,,- ,G,Y,,,,B,N,N,A,1,1,0,0,,2,37.44888,-122.18536,4
2011,2011-04-01,1105,4,1,11,5,N,A,N,A,H,A,A,01,N,07,H,,Y,,,G,N,N,A,1,0,1,0,21658.0,2,37.42644024,-122.19321706,3
2011,2011-04-07,1455,4,1,14,4,Y,B,N,A,H,A,A,01,,03,C,,,,,C,Y,N,D,1,0,0,0,22350.0,2,37.43977,-122.20106,4
2011,2011-04-07,1759,4,1,17,4,N,A,Y,A,H,A,A,01,N,03,C,,,,,C,N,N,A,3,0,0,0,22350.0,3,37.44841998,-122.17420731,4
2011,2011-04-11,1533,4,1,15,1,N,A,N,A,H,A,A,01,W,03,C,,,,,C,N,N,D,1,0,0,0,22350.0,3,37.44550074,-122.18963185,4
2011,2011-04-11,1627,4,1,16,1,N,A,N,A,H,A,A,01,S,08,D,,,,,E,N,N,D,1,0,0,0,22107.0,2,37.42325914,-122.20120545,4
2011,2011-04-12,1558,4,1,15,2,N,A,N,A,H,A,A,01,S,03,C,,,,,E,N,N,D,1,0,0,0,22350.0,3,37.47452386,-122.14793263,2
2011,2011-04-07,1344,4,1,13,4,N,A,Y,A,H,A,A,01,S,03,C,,,,,C,N,N,A,1,0,0,0,22350.0,2,37.4523008,-122.18031034,4
2011,2011-05-04,650,5,1,6,3,N,A,N,A,H,A,A,01,,12,G,Y,,,,B,N,N,A,1,1,0,0,22450.0,2,37.70485,-122.45535,4
2011,2011-05-08,1020,5,1,10,7,Y,A,N,A,H,A,-,- ,,10,G,Y,,,,B,N,N,D,1,1,0,0,21950.0,2,37.70597,-122.4667,4
2011,2011-05-02,1610,5,1,16,1,N,A,N,A,H,A,A,01,S,12,A,,,,,C,Y,N,A,3,0,0,0,21453.0,3,37.70293348,-122.47089745,2
2011,2011-05-01,500,5,1,5,7,-,A,N,A,H,C,A,01,,08,E,,,,,I,N,M,D,1,0,0,0,22107.0,1,37.70582,-122.41124,4
2011,2011-04-30,2356,4,1,23,6,N,A,N,A,H,C,A,01,N,01,G,Y,,,,B,Y,N,D,2,2,0,0,23153.0,3,37.7048109,-122.40702995,2
2011,2011-04-21,810,4,1,8,4,Y,A,N,A,H,A,A,01,,10,G,Y,,,,B,N,N,D,1,1,0,0,21950.0,2,37.70703,-122.45174,3
2011,2011-04-09,907,4,1,9,6,N,A,N,A,H,A,A,01,W,- ,C,,,,,C,Y,N,D,1,0,0,0,,3,37.70655934,-122.44760408,4
2011,2011-04-28,2308,4,1,23,4,Y,A,N,A,H,C,A,01,,08,B,,,Y,,C,Y,N,A,1,0,0,1,22100.0,2,37.66532,-122.47475,4
2011,2011-04-24,953,4,1,9,7,Y,C,Y,B,H,A,A,07,,03,B,,,,,I,Y,N,A,1,0,0,0,22350.0,1,37.702469,-122.47211281,4
2011,2011-03-28,1038,3,1,10,1,Y,B,N,A,H,A,A,01,,09,B,,,Y,,C,N,N,A,1,0,0,1,21802.0,2,37.45402,-122.16291,4
2011,2011-05-19,1353,5,1,13,4,Y,A,N,A,H,A,A,08,,09,D,,,,,C,N,N,D,1,0,0,0,21800.0,3,37.65563,-122.4239,4
2011,2011-04-22,1836,4,1,18,5,N,A,N,A,H,A,A,01,S,10,G,Y,,,,B,N,N,A,1,1,0,0,21950.0,2,37.66563221,-122.45596677,4
2011,2011-04-27,1353,4,1,13,3,Y,A,N,A,H,A,A,01,,09,D,,,,,C,N,N,A,1,0,0,0,21802.0,2,37.64669,-122.39972,4
2011,2011-04-25,2205,4,1,22,1,Y,A,N,A,H,C,A,01,,09,D,,,,,C,Y,N,A,1,0,0,0,21453.0,2,37.42587,-122.1925,4
2011,2011-04-21,1645,4,1,16,4,N,A,Y,A,H,A,A,01,S,07,D,,,Y,,C,Y,N,D,1,0,0,1,21658.0,3,37.48221946,-122.17835836,4
