ACCIDENT_YEAR,COLLISION_DATE,COLLISION_TIME,MONTH,SEASON,24HOURS,DAY_OF_WEEK,INTERSECTION,WEATHER_1,STATE_HWY_IND,ROAD_SURFACE,ROAD_COND_1,LIGHTING,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,DIRECTION,PCF_VIOL_CATEGORY,TYPE_OF_COLLISION,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,MVIW,TOW_AWAY,HIT_AND_RUN,CONTROL_DEVICE,NUMBER_INJURED,COUNT_PED_INJURED,COUNT_BICYCLIST_INJURED,COUNT_MC_INJURED,PCF_VIOLATION,PARTY_COUNT,POINT_Y,POINT_X,COLLISION_SEVERITY
2011,2011-10-31,1140,10,3,11,1,N,A,N,A,H,A,-,- ,N,09,G,Y,,,,B,N,N,D,1,1,0,0,21804.0,2,34.42550635,-119.70992828,3
2011,2011-04-16,1616,4,1,16,6,N,A,Y,A,H,A,A,01,N,08,F,,,,,I,Y,N,D,2,0,0,0,22107.0,1,34.73673389,-120.25693469,3
2011,2011-04-30,1024,4,1,10,6,N,A,Y,A,H,A,A,01,W,08,E,,,,,I,Y,N,D,2,0,0,0,22107.0,1,34.95702236,-120.50923383,4
2011,2011-04-20,1645,4,1,16,3,N,A,Y,A,H,A,A,01,W,08,E,,,,,I,Y,N,D,1,0,0,0,22107.0,1,34.59564744,-120.14643767,4
2011,2011-05-03,500,5,1,5,2,N,A,N,A,H,D,A,01,N,08,E,,,,,I,Y,N,D,1,0,0,0,22107.0,1,,,3
2011,2011-04-04,1300,4,1,13,1,N,A,N,A,H,A,-,- ,S,03,B,,,,,C,N,N,D,1,0,0,0,22350.0,2,34.42142617,-119.699145,4
2011,2011-04-04,1344,4,1,13,1,Y,A,N,A,H,A,-,- ,,12,D,,,,,C,Y,N,A,1,0,0,0,21453.0,2,34.41898,-119.69324,4
2011,2011-04-04,616,4,1,6,1,N,A,N,A,H,B,A,01,S,08,B,,,,,E,Y,N,D,1,0,0,0,22107.0,2,34.42189936,-119.71015334,4
2011,2011-04-04,1552,4,1,15,1,N,A,N,A,H,A,A,01,E,03,C,,,,,C,N,N,A,3,0,0,0,22350.0,3,34.43026039,-119.71533229,4
2011,2011-04-01,1317,4,1,13,5,N,A,N,A,H,A,-,- ,N,09,A,,,,,C,Y,N,D,1,0,0,0,21804.0,4,,,4
