ACCIDENT_YEAR,COLLISION_DATE,COLLISION_TIME,MONTH,SEASON,24HOURS,DAY_OF_WEEK,INTERSECTION,WEATHER_1,STATE_HWY_IND,ROAD_SURFACE,ROAD_COND_1,LIGHTING,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,DIRECTION,PCF_VIOL_CATEGORY,TYPE_OF_COLLISION,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,MVIW,TOW_AWAY,HIT_AND_RUN,CONTROL_DEVICE,NUMBER_INJURED,COUNT_PED_INJURED,COUNT_BICYCLIST_INJURED,COUNT_MC_INJURED,PCF_VIOLATION,PARTY_COUNT,POINT_Y,POINT_X,COLLISION_SEVERITY
2011,2011-04-28,1101,4,1,11,4,N,A,N,A,H,A,A,07,N,03,C,,,,,C,Y,N,D,1,0,0,0,22350.0,3,36.9111176,-121.76660193,4
2011,2011-04-01,1242,4,1,12,5,Y,A,Y,A,H,A,A,01,,09,D,,,,,C,Y,N,D,2,0,0,0,21802.0,2,36.98518495,-122.02705302,4
2011,2011-04-02,304,4,1,3,6,N,A,N,A,H,C,A,01,E,01,E,,,,,I,Y,N,D,1,0,0,0,23152.0,1,36.97596165,-122.00599692,3
2011,2011-03-30,1607,3,1,16,3,Y,A,N,A,H,A,A,01,,08,D,,Y,,,G,N,N,D,1,0,1,0,22100.0,2,36.96948,-122.04615,3
2011,2011-05-14,1930,5,1,19,6,Y,B,N,A,H,A,D,22,,09,D,,,Y,,C,N,N,D,1,0,0,1,21802.0,2,36.96668,-122.01036,4
2011,2011-05-19,1445,5,1,14,4,Y,A,Y,A,H,A,L,04,,08,B,,Y,,,G,N,N,A,1,0,1,0,22100.0,2,36.9867749,-122.03016147,3
2011,2011-05-10,1831,5,1,18,2,N,A,N,A,H,A,N,60,S,11,G,Y,,,,B,Y,F,D,1,1,0,0,21954.0,2,36.9230605,-121.78720297,2
2011,2011-04-12,1530,4,1,15,2,N,A,Y,A,H,A,G,25,E,08,F,,,,Y,A,Y,N,D,0,0,0,0,22107.0,1,36.90418295,-121.63864744,1
2011,2011-01-15,1340,1,4,13,6,N,A,Y,A,H,A,A,01,E,03,C,,,,Y,C,N,M,D,1,0,0,0,22350.0,4,36.97919625,-121.71120276,4
2011,2011-10-28,2004,10,3,20,5,Y,A,N,A,H,C,I,19,,03,C,,,,,D,N,N,D,1,0,0,0,22350.0,2,36.97551,-122.02562,4
2011,2011-01-25,1805,1,4,18,2,N,A,Y,A,H,D,G,26,N,03,C,,,,Y,C,Y,N,D,1,0,0,0,22350.0,4,36.9749111,-121.89949451,4
2011,2011-01-25,1210,1,4,12,2,N,A,Y,A,H,A,G,25,S,07,B,,,,Y,C,Y,N,D,1,0,0,0,21658.0,2,36.98667794,-122.02423566,4
2011,2011-01-24,905,1,4,9,1,Y,A,N,A,H,A,A,07,,09,B,,,,,C,N,N,A,1,0,0,0,21801.0,2,36.92558,-121.79637,4
2011,2011-01-31,1947,1,4,19,1,Y,B,N,A,H,C,A,01,,01,D,,,,,C,Y,M,A,1,0,0,0,23152.0,2,36.92621,-121.77948,4
2011,2011-02-02,1500,2,4,15,3,Y,A,N,A,H,A,L,04,,05,D,,Y,,,G,N,N,A,1,0,1,0,21202.0,2,36.93124,-121.76916,4
2011,2011-02-01,1755,2,4,17,2,N,A,N,A,H,C,A,01,W,09,D,,,,,C,N,M,A,1,0,0,0,21804.0,2,36.93783427,-121.77823535,4
2011,2011-02-02,851,2,4,8,3,N,A,Y,A,H,A,A,01,E,10,G,Y,,,,B,N,N,A,1,1,0,0,21950.0,2,36.90787353,-121.75242389,4
2011,2011-01-18,100,1,4,1,2,N,A,Y,A,H,D,A,01,N,01,E,,,,,I,Y,N,D,1,0,0,0,23152.0,1,37.13825846,-122.14283407,3
2011,2011-01-19,1528,1,4,15,3,N,A,Y,A,H,A,A,01,S,08,E,,,,,I,Y,N,D,1,0,0,0,22107.0,1,36.98481834,-121.97686385,4
2011,2011-01-13,720,1,4,7,4,N,B,Y,A,H,A,A,01,N,08,E,,,,,I,Y,N,D,1,0,0,0,22107.0,1,36.9802574,-121.91492269,2
2011,2011-01-22,1235,1,4,12,6,N,A,N,A,H,A,A,07,S,03,C,,,,,C,N,N,A,1,0,0,0,22350.0,2,36.9880388,-121.95735253,4
2011,2011-01-21,825,1,4,8,5,N,A,N,A,H,A,A,01,S,09,D,,,,,C,N,N,D,1,0,0,0,21804.0,2,36.96752147,-121.88383357,4
2011,2011-01-24,1640,1,4,16,1,Y,A,N,A,H,A,A,01,,12,D,,,Y,,C,N,N,A,1,0,0,1,21453.0,2,36.98883,-121.95464,3
2011,2011-01-20,1749,1,4,17,4,N,A,Y,A,H,C,A,01,S,04,C,,,,,C,Y,N,D,2,0,0,0,21703.0,4,36.97527727,-121.89327787,4
2011,2011-01-09,1212,1,4,12,7,N,A,N,A,H,A,A,07,S,03,E,,,,,I,Y,N,D,1,0,0,0,22350.0,1,37.04674671,-122.07779315,2
2011,2011-01-22,1035,1,4,10,6,N,A,Y,A,H,A,D,22,N,17,E,,,,,I,Y,N,D,1,0,0,0,23114.0,2,36.98164888,-121.9175461,4
2011,2011-01-26,1023,1,4,10,3,N,A,N,A,H,B,-,- ,W,08,D,,Y,,,G,N,N,D,1,0,1,0,21717.0,2,36.98270545,-121.99586615,3
2011,2011-01-27,1606,1,4,16,4,Y,A,N,A,H,A,A,01,,09,D,,Y,,,G,Y,N,D,1,0,1,0,21801.0,2,36.96052,-122.02903,3
2011,2011-01-10,1700,1,4,17,1,Y,A,N,A,H,B,-,- ,,- ,D,,Y,,,G,N,N,D,1,0,1,0,,2,36.96768,-122.04215,4
2011,2011-01-25,1454,1,4,14,2,Y,A,N,A,H,A,-,- ,,10,G,Y,,,,B,N,N,A,2,2,0,0,21950.0,3,36.96125,-122.02549,3
2011,2011-01-21,1508,1,4,15,5,N,A,N,A,H,A,-,- ,S,00,F,,Y,,,A,N,N,D,1,0,1,0,,1,36.989304,-122.01292009,3
2011,2011-01-12,231,1,4,2,3,Y,B,N,B,H,C,-,- ,,- ,A,,,,,E,Y,N,D,1,0,0,0,,4,36.98501,-122.01602,3
2011,2011-01-09,1715,1,4,17,7,N,A,N,A,H,C,-,- ,W,00,G,Y,,,,B,N,F,D,1,1,0,0,,2,36.97631366,-122.0527049,4
2011,2011-01-07,1108,1,4,11,5,Y,A,N,A,H,A,A,01,,10,G,Y,,,,B,N,N,A,1,1,0,0,21950.0,2,36.97551,-122.02562,3
2011,2011-01-05,1738,1,4,17,3,Y,A,N,A,H,C,N,60,,11,G,Y,,,,B,N,N,A,1,1,0,0,21950.0,2,36.97521,-122.02544,3
2011,2011-01-05,1605,1,4,16,3,N,A,N,A,H,A,A,01,W,17,B,,Y,,,G,N,N,D,1,0,1,0,22517.0,2,36.96692489,-122.03506418,3
2011,2011-01-05,1550,1,4,15,3,Y,A,N,A,H,A,-,- ,,00,D,,Y,,,G,N,N,D,1,0,1,0,,2,36.96717,-122.04121,4
2011,2011-02-06,849,2,4,8,7,N,A,N,A,H,A,N,60,W,11,G,Y,,,,B,N,N,D,1,1,0,0,21954.0,2,36.92248367,-121.76275075,3
2011,2011-01-05,1434,1,4,14,3,Y,A,N,B,H,A,M,96,,21,C,,,,,C,N,N,A,1,0,0,0,22106.0,2,36.97026,-121.96484,4
2011,2011-01-01,2118,1,4,21,6,N,A,N,A,A,C,D,22,W,08,G,Y,,,,B,N,M,D,1,1,0,0,22107.0,2,36.98364567,-121.94916229,4
2011,2011-01-17,1612,1,4,16,1,N,A,N,-,H,A,-,- ,S,- ,G,,,,,B,N,N,A,1,0,0,0,,2,36.97199568,-121.96739998,3
2011,2011-01-07,805,1,4,8,5,N,A,Y,A,H,A,-,- ,N,18,C,,,,,C,Y,N,D,1,0,0,0,,2,36.9887334,-122.01563362,4
2011,2011-01-06,1701,1,4,17,4,N,A,Y,A,H,A,A,01,N,03,C,,,,,C,Y,N,D,2,0,0,0,22350.0,2,36.88435777,-121.77236536,4
2011,2011-01-04,805,1,4,8,2,N,A,Y,A,H,A,D,22,S,03,C,,,,,C,N,N,D,1,0,0,0,22350.0,2,36.97434603,-121.88391858,4
2011,2011-01-04,750,1,4,7,2,N,A,Y,A,H,A,A,01,S,03,C,,,,,C,Y,N,D,1,0,0,0,22350.0,3,36.97339465,-121.88114769,4
2011,2011-01-03,715,1,4,7,1,N,B,Y,B,H,B,A,01,N,03,D,,,,,C,Y,N,D,2,0,0,0,22350.0,2,37.10507305,-121.9748445,2
2011,2011-01-02,1918,1,4,19,7,N,B,Y,B,H,D,A,01,S,03,C,,,,,C,Y,N,D,1,0,0,0,22350.0,5,37.09530858,-121.9765709,4
2011,2011-01-01,1406,1,4,14,6,N,C,Y,B,H,A,A,01,N,03,E,,,,,I,Y,N,D,1,0,0,0,22350.0,1,37.10493381,-121.97486684,3
2011,2011-01-11,1845,1,4,18,2,N,B,Y,B,H,D,A,07,N,03,C,,,,,C,Y,N,D,1,0,0,0,22350.0,2,37.11485806,-121.97480285,4
2011,2011-01-11,1846,1,4,18,2,N,B,Y,B,H,D,A,01,N,03,C,,,,,C,Y,N,D,1,0,0,0,22350.0,3,37.11485806,-121.97480285,4
2011,2011-01-14,817,1,4,8,5,N,B,Y,A,H,A,A,01,S,07,B,,,,,C,N,N,D,1,0,0,0,21658.0,2,36.98668587,-121.98436424,3
2011,2011-01-09,250,1,4,2,7,N,B,Y,A,H,D,A,01,S,01,E,,,,,I,Y,N,D,1,0,0,0,23152.0,1,36.93400662,-121.81953439,4
2011,2011-01-08,240,1,4,2,6,N,A,Y,A,H,D,A,01,N,01,F,,,,,A,Y,N,D,1,0,0,0,23152.0,1,36.89760496,-121.77602297,3
2011,2011-01-11,115,1,4,1,2,N,B,N,A,H,D,A,07,S,08,E,,,,,I,Y,N,D,1,0,0,0,22107.0,1,37.09238402,-122.00481202,4
2011,2011-01-02,1413,1,4,14,7,N,B,N,B,H,A,D,22,E,03,E,,,,,I,Y,N,D,1,0,0,0,22350.0,1,37.04482041,-122.0546937,4
2011,2011-01-14,808,1,4,8,5,N,A,N,B,H,A,A,01,N,03,E,,,,,I,Y,N,D,1,0,0,0,22350.0,1,37.11320828,-121.94088974,2
2011,2011-01-13,2047,1,4,20,4,Y,B,N,B,H,E,A,08,,09,A,,,,,C,Y,N,A,3,0,0,0,21453.0,2,37.05211,-122.07054,4
2011,2011-01-05,1710,1,4,17,3,N,A,N,A,H,A,L,04,W,05,H,,Y,,,G,N,N,D,1,0,1,0,21650.0,2,36.98724835,-121.96593589,3
2011,2011-01-04,1658,1,4,16,2,N,A,N,A,H,B,L,04,E,01,H,,Y,,,G,N,N,D,1,0,1,0,21200.0,2,36.97102349,-121.9841916,3
2011,2011-01-04,1515,1,4,15,2,N,A,N,A,B,A,L,04,E,03,F,,Y,,,A,N,N,D,1,0,1,0,22350.0,1,36.98303562,-121.92776551,4
2011,2011-01-08,2320,1,4,23,6,N,A,N,A,H,D,A,01,E,01,E,,,,,I,Y,N,D,1,0,0,0,23152.0,1,36.92382057,-121.73246358,4
2011,2011-01-08,308,1,4,3,6,N,A,N,A,H,D,A,07,S,01,F,,,,,I,Y,N,D,1,0,0,0,23152.0,1,36.98200227,-121.80107403,3
2011,2011-01-03,1300,1,4,13,1,Y,B,N,A,H,A,A,01,,09,D,,Y,,,G,N,N,A,1,0,1,0,21801.0,2,36.9763,-121.90427,3
2011,2011-01-02,2008,1,4,20,7,N,B,Y,B,H,C,A,01,W,08,H,,Y,,,G,N,N,A,1,0,1,0,22107.0,2,36.98430384,-122.03018523,4
2011,2011-02-14,854,2,4,8,1,N,C,Y,B,H,A,D,22,S,03,A,,,,Y,C,Y,N,D,1,0,0,0,22350.0,2,36.98345495,-121.953963,4
2011,2011-02-16,315,2,4,3,3,N,C,Y,B,C,D,-,- ,S,18,E,,,,Y,J,Y,N,D,1,0,0,0,,1,36.99617899,-122.01969945,4
2011,2011-01-16,302,1,4,3,7,Y,A,N,A,H,C,B,01,,03,H,,,,,E,Y,N,A,3,0,0,0,22350.0,3,36.95977,-122.05756,3
2011,2011-02-24,1615,2,4,16,4,Y,B,N,B,H,A,A,07,,12,D,,,,,D,Y,N,A,1,0,0,0,22450.0,2,36.95566,-122.04846,4
2011,2011-02-09,647,2,4,6,3,N,A,N,A,H,B,A,01,W,03,G,Y,,,,B,N,N,D,1,1,0,0,22350.0,2,36.96748447,-121.89406952,3
2011,2011-02-08,1000,2,4,10,2,N,A,N,A,H,A,A,01,N,03,C,,,,,C,Y,N,D,3,0,0,0,22350.0,2,36.95922789,-121.98134321,4
2011,2011-01-23,750,1,4,7,7,N,A,Y,A,H,A,D,22,N,08,E,,,,,I,Y,M,D,1,0,0,0,22107.0,1,36.93332102,-121.8172329,3
2011,2011-01-29,1309,1,4,13,6,N,A,N,A,A,A,L,04,S,03,F,,Y,,,A,N,N,D,2,0,2,0,22350.0,2,36.9739798,-121.8065099,2
2011,2011-01-27,1405,1,4,14,4,Y,A,N,A,H,A,A,01,,09,D,,,,,C,Y,N,D,1,0,0,0,21801.0,2,36.93035,-121.85773,4
2011,2011-01-26,2300,1,4,23,3,N,A,N,A,H,D,A,01,W,01,E,,,,,I,Y,N,D,1,0,0,0,23152.0,1,36.97118496,-121.78093149,3
