ACCIDENT_YEAR,COLLISION_DATE,COLLISION_TIME,MONTH,SEASON,24HOURS,DAY_OF_WEEK,INTERSECTION,WEATHER_1,STATE_HWY_IND,ROAD_SURFACE,ROAD_COND_1,LIGHTING,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,DIRECTION,PCF_VIOL_CATEGORY,TYPE_OF_COLLISION,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,MVIW,TOW_AWAY,HIT_AND_RUN,CONTROL_DEVICE,NUMBER_INJURED,COUNT_PED_INJURED,COUNT_BICYCLIST_INJURED,COUNT_MC_INJURED,PCF_VIOLATION,PARTY_COUNT,POINT_Y,POINT_X,COLLISION_SEVERITY
2011,2011-04-03,1500,4,1,15,7,N,A,N,C,H,A,M,96,S,8,F,,,,,A,N,N,D,0,0,0,0,38314.0,1,,,1
2011,2011-03-07,1611,3,1,16,1,N,A,Y,A,H,A,A,07,S,8,E,,,,,I,Y,N,D,1,0,0,0,22107.0,1,39.62122025,-120.35599303,3
2011,2011-03-24,1800,3,1,18,4,N,B,Y,C,H,A,D,22,S,3,C,,,,,C,Y,N,D,1,0,0,0,22350.0,2,39.56220687,-120.35420526,4
2011,2011-03-01,1705,3,1,17,2,N,A,Y,B,H,A,A,07,N,3,E,,,,,I,Y,N,A,3,0,0,0,22350.0,1,39.56924048,-120.62646791,4
2011,2011-06-20,1650,6,2,16,1,N,A,Y,A,H,A,C,02,S,8,E,,,Y,,I,Y,N,D,0,0,0,0,22107.0,1,39.62013022,-120.43524179,1
2011,2011-05-25,1430,5,1,14,3,N,C,Y,C,H,A,A,01,S,3,E,,,,,I,Y,N,D,1,0,0,0,22350.0,1,39.55843991,-120.84407244,4
2011,2011-06-12,1255,6,2,12,7,N,A,Y,A,H,A,C,02,N,3,F,,,Y,,A,N,N,D,1,0,0,1,22350.0,1,39.62239674,-120.46103335,3
2011,2011-07-23,1513,7,2,15,6,N,A,Y,A,H,A,C,02,S,3,F,,,Y,,A,Y,N,D,1,0,0,1,22350.0,1,39.62736297,-120.46193848,2
2011,2011-07-31,1715,7,2,17,7,N,A,Y,A,H,A,C,02,S,3,F,,,Y,,A,Y,N,D,1,0,0,1,22350.0,1,39.62262277,-120.46080969,2
2011,2011-07-17,1045,7,2,10,7,N,A,Y,A,H,A,C,02,S,5,E,,,Y,,I,N,N,D,1,0,0,1,21650.0,1,39.55794922,-120.83428143,4
2011,2011-07-16,1105,7,2,11,6,N,A,Y,A,H,A,C,02,N,3,E,,,Y,,I,N,N,D,1,0,0,1,22350.0,1,39.61643882,-120.48574391,2
2011,2011-09-02,710,9,3,7,5,N,A,Y,A,H,A,G,25,N,17,F,,,,Y,A,Y,N,D,2,0,0,0,21662.0,1,39.4610648,-120.22670642,4
2011,2011-08-19,930,8,2,9,5,N,A,N,A,H,A,C,06,N,5,E,,,Y,,I,Y,N,D,1,0,0,1,21650.0,1,39.58403744,-120.8163625,2
2011,2011-08-14,1441,8,2,14,7,N,A,Y,A,H,A,C,02,S,3,F,,,Y,,I,Y,N,D,1,0,0,1,22350.0,1,39.61717532,-120.50669003,4
2011,2011-08-21,1710,8,2,17,7,N,A,Y,A,H,A,C,02,N,8,F,,,Y,,A,Y,N,A,1,0,0,1,22107.0,1,39.50363213,-121.01999438,4
2011,2011-09-25,1100,9,3,11,7,N,B,Y,A,H,A,D,22,N,5,E,,,,,I,Y,M,A,1,0,0,0,21650.0,1,39.55874219,-120.81998299,4
2011,2011-09-30,1310,9,3,13,5,N,A,N,A,H,A,C,06,E,3,E,,,Y,,I,Y,N,D,1,0,0,1,22350.0,1,39.59108604,-120.58838567,4
2011,2011-09-27,1805,9,3,18,2,N,A,Y,A,H,A,C,02,N,8,E,,,Y,,I,Y,N,D,1,0,0,1,22107.0,1,39.51803601,-120.28377041,2
2011,2011-09-11,1245,9,3,12,7,N,A,Y,A,H,A,-,- ,N,18,F,,,Y,,A,Y,N,D,1,0,0,1,,1,39.47991848,-120.23306364,3
2011,2011-10-21,1245,10,3,12,5,N,A,Y,A,H,A,A,01,S,8,E,,,,,I,Y,N,A,2,0,0,0,22107.0,1,39.50636528,-121.01928901,4
2011,2011-10-18,1248,10,3,12,2,N,A,Y,A,H,A,-,- ,S,18,F,,Y,,,A,N,N,D,1,0,1,0,,1,39.550162,-120.32380651,3
2011,2011-11-04,625,11,3,6,5,N,B,Y,C,H,D,A,08,S,3,F,,,,,A,Y,N,D,5,0,0,0,22350.0,1,39.70768246,-120.03429078,2
2011,2011-12-04,802,12,4,8,7,N,A,Y,A,H,A,A,07,N,8,E,,,,,I,Y,N,D,1,0,0,0,22107.0,1,39.50792696,-120.28427966,4
2011,2011-12-08,1203,12,4,12,4,N,A,Y,C,H,A,A,07,N,3,E,,,,,I,Y,N,D,2,0,0,0,22350.0,1,39.55942403,-120.81324587,4
2011,2011-12-26,710,12,4,7,1,N,A,N,A,H,A,D,22,N,8,E,,,,,I,Y,N,D,1,0,0,0,22107.0,1,39.69956288,-120.30576921,4
2011,2011-12-23,543,12,4,5,5,N,A,Y,A,H,D,G,25,E,8,E,,,,Y,I,Y,N,D,1,0,0,0,22107.0,1,39.44689476,-120.00974557,4
2012,2012-01-19,615,1,4,6,4,Y,B,N,A,H,C,A,07,,1,E,,,,,I,Y,N,D,1,0,0,0,23152.0,1,39.56041512,-120.82813317,4
2012,2012-02-27,745,2,4,7,1,N,B,Y,C,H,A,A,07,S,3,E,,,,,I,N,N,D,1,0,0,0,22350.0,1,39.68722863,-120.01374933,4
2012,2012-02-27,1215,2,4,12,1,N,D,Y,C,H,A,A,07,W,3,E,,,,,I,Y,N,D,1,0,0,0,22350.0,1,39.46269351,-120.00637539,4
2012,2012-04-29,1510,4,1,15,7,N,A,Y,A,H,A,C,02,N,5,B,,,Y,,C,Y,N,A,0,0,0,0,21460.0,2,39.52591278,-120.948003,1
2012,2012-02-20,2345,2,4,23,1,N,A,Y,A,H,D,A,01,N,1,E,,,,,I,Y,N,D,2,0,0,0,23152.0,1,39.45397238,-120.2219351,2
2012,2012-03-23,805,3,1,8,5,N,A,Y,C,B,B,A,07,N,3,E,,,,,I,Y,N,D,1,0,0,0,22350.0,1,39.50880839,-120.28489927,4
2012,2012-05-09,940,5,1,9,3,N,A,Y,A,H,A,A,01,N,8,E,,,,,I,Y,N,D,1,0,0,0,22107.0,1,39.68231675,-120.46033694,3
2012,2012-05-12,643,5,1,6,6,N,A,N,A,H,A,A,01,S,1,F,,,,,A,Y,N,D,1,0,0,0,23152.0,1,,,4
2012,2012-05-23,2110,5,1,21,3,N,A,N,A,H,D,D,22,W,8,E,,,,,I,Y,N,A,1,0,0,0,22107.0,1,39.42127946,-121.00878473,4
2012,2012-07-15,1330,7,2,13,7,N,A,Y,A,H,A,C,02,S,3,E,,,Y,,I,Y,N,D,0,0,0,0,22350.0,1,39.62415478,-120.46002716,1
2012,2012-07-17,1615,7,2,16,2,N,A,Y,A,H,A,C,02,S,5,E,,,Y,,I,Y,N,A,0,0,0,0,21650.0,1,39.61713812,-120.50686798,1
2013,2013-02-10,2200,2,4,22,7,N,A,Y,A,H,D,G,25,W,8,E,,,,Y,I,Y,N,D,0,0,0,0,22107.0,1,39.4628735,-120.0064003,1
2012,2012-05-27,1420,5,1,14,7,N,A,Y,A,C,A,C,02,N,3,F,,,Y,,I,Y,N,A,1,0,0,1,22350.0,1,39.49894696,-121.01926077,3
2012,2012-05-30,1550,5,1,15,3,N,A,Y,A,H,A,C,02,N,3,F,,,Y,,A,Y,N,A,1,0,0,1,22350.0,1,39.50485255,-121.02129492,3
2012,2012-06-24,1800,6,2,18,7,N,A,Y,A,H,A,A,07,N,5,E,,,,,I,Y,N,A,1,0,0,0,21650.0,1,39.56036445,-120.80911593,3
2012,2012-06-23,820,6,2,8,6,N,A,Y,A,H,A,D,22,S,5,E,,,,,I,Y,N,A,1,0,0,0,21650.0,1,39.55941385,-120.84737188,4
2012,2012-07-02,1240,7,2,12,1,N,A,Y,A,H,A,C,02,S,8,F,,,Y,,A,N,N,D,1,0,0,1,22107.0,1,39.60586327,-120.42078996,3
2012,2012-07-11,1630,7,2,16,3,N,A,Y,A,H,A,G,25,N,8,F,,,,Y,I,Y,N,A,1,0,0,0,22107.0,2,39.56690614,-120.74590066,4
2012,2012-07-09,910,7,2,9,1,N,A,Y,A,H,A,A,01,S,5,E,,,,,I,Y,N,A,2,0,0,0,21650.0,1,39.56014916,-120.75273076,3
2012,2012-08-05,24,8,2,0,7,N,B,Y,A,H,D,D,22,N,8,E,,,,,I,Y,N,D,1,0,0,0,22107.0,1,39.68914051,-120.01505664,3
2012,2012-08-30,1730,8,2,17,4,N,A,Y,A,H,A,D,22,S,9,D,,,,,C,Y,N,-,1,0,0,0,21804.0,2,39.56320921,-120.64733136,4
2012,2012-07-28,1630,7,2,16,6,N,A,N,A,H,A,C,06,W,3,F,,,Y,,A,N,N,D,1,0,0,1,22350.0,1,39.52012467,-120.99799454,2
2012,2012-08-04,1700,8,2,17,6,N,A,Y,A,H,A,C,02,S,1,F,,,Y,,A,N,N,A,2,0,0,2,23152.0,1,39.55537524,-120.79201625,3
2012,2012-08-03,1620,8,2,16,5,N,A,Y,A,H,A,A,07,N,9,A,,,Y,,C,Y,N,A,1,0,0,1,21801.0,2,39.51955242,-121.00019301,2
2012,2012-08-03,1700,8,2,17,5,N,B,Y,A,H,A,A,08,N,8,E,,,,,I,N,N,D,2,0,0,0,22107.0,1,39.5906787,-120.37107092,4
2012,2012-09-02,1325,9,3,13,7,N,A,Y,A,H,A,C,02,N,3,F,,,Y,,A,Y,N,D,2,0,0,2,22350.0,1,39.49861951,-121.0159741,3
2012,2012-09-16,1100,9,3,11,7,N,A,Y,A,H,A,-,- ,S,18,H,,,Y,,H,Y,N,D,1,0,0,1,,1,39.5636627,-120.6443244,3
2012,2012-09-03,1827,9,3,18,1,N,A,N,A,H,A,A,07,W,1,E,,,,,I,Y,N,D,4,0,0,0,23152.0,1,39.63708164,-120.00654638,3
2012,2012-09-19,2302,9,3,23,3,N,A,Y,A,H,D,A,01,E,8,E,,,,,I,Y,N,D,1,0,0,0,22107.0,1,39.4586325,-120.0085696,4
2012,2012-10-22,1715,10,3,17,1,N,B,Y,C,H,A,A,07,S,3,H,,,,,I,Y,N,D,1,0,0,0,22350.0,1,39.66115198,-120.43270595,4
2012,2012-12-04,1340,12,4,13,2,N,B,N,B,H,A,A,07,S,8,E,,,,,I,Y,N,D,1,0,0,0,22107.0,1,,,3
2012,2012-12-26,2242,12,4,22,3,N,B,Y,C,H,D,-,- ,E,18,C,,,,Y,C,Y,M,D,2,0,0,0,,2,39.44733895,-120.00961201,4
2012,2012-11-23,750,11,3,7,5,N,A,Y,C,H,A,D,22,S,3,E,,,,,I,Y,N,D,1,0,0,0,22350.0,1,39.53266048,-120.30927079,4
2012,2012-11-10,1819,11,3,18,6,N,A,Y,A,H,D,-,- ,N,18,H,,,,,H,Y,N,D,1,0,0,0,,1,39.51353329,-120.97311842,4
2013,2013-06-11,1810,6,2,18,2,N,A,N,A,A,A,D,22,E,3,F,,,,,A,Y,N,D,1,0,0,0,22350.0,1,,,1
2013,2013-02-18,945,2,4,9,1,N,B,Y,A,H,A,D,22,N,22,F,,,,,A,Y,N,D,1,0,0,0,,1,39.6064662,-120.3496022,3
2012,2012-12-22,233,12,4,2,6,N,B,Y,C,H,D,A,07,S,3,F,,,,,A,Y,N,A,1,0,0,0,22350.0,1,39.68693559,-120.50416091,4
2013,2013-02-13,1930,2,4,19,3,N,A,Y,A,H,D,A,01,S,1,E,,,,,I,Y,N,A,1,0,0,0,23152.0,1,39.5659331,-120.7056166,3
2013,2013-02-17,1715,2,4,17,7,N,A,Y,D,G,A,C,02,S,3,E,,,Y,,I,Y,N,A,2,0,0,2,22350.0,1,39.512096,-121.0166938,3
2012,2012-10-16,1315,10,3,13,2,N,A,Y,A,H,A,C,02,S,8,F,,,Y,,A,Y,N,D,1,0,0,1,22107.0,1,39.6192006,-120.49803844,2
