ACCIDENT_YEAR,COLLISION_DATE,COLLISION_TIME,MONTH,SEASON,24HOURS,DAY_OF_WEEK,INTERSECTION,WEATHER_1,STATE_HWY_IND,ROAD_SURFACE,ROAD_COND_1,LIGHTING,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,DIRECTION,PCF_VIOL_CATEGORY,TYPE_OF_COLLISION,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,MVIW,TOW_AWAY,HIT_AND_RUN,CONTROL_DEVICE,NUMBER_INJURED,COUNT_PED_INJURED,COUNT_BICYCLIST_INJURED,COUNT_MC_INJURED,PCF_VIOLATION,PARTY_COUNT,POINT_Y,POINT_X,COLLISION_SEVERITY
2011,2011-10-09,1053,10,3,10,7,N,A,N,A,H,A,-,- ,S,08,E,,,,,I,Y,N,D,1,0,0,0,22107.0,1,38.36433028,-122.00147578,4
2011,2011-11-21,941,11,3,9,1,N,B,N,A,H,A,L,04,N,22,D,,Y,,,G,N,N,D,1,0,1,0,,2,38.35415642,-121.96468316,3
2011,2011-03-16,1705,3,1,17,3,N,B,N,A,H,A,A,01,N,08,E,,,,,I,Y,N,D,2,0,0,0,22107.0,1,38.43923964,-121.97040247,3
2011,2011-03-17,625,3,1,6,4,N,B,N,A,H,B,A,01,N,08,E,,,,,J,Y,N,D,1,0,0,0,22107.0,1,38.30507514,-121.94740004,4
2011,2011-05-17,2106,5,1,21,2,N,C,N,B,H,C,D,22,E,03,E,,,,,J,Y,N,D,3,0,0,0,22350.0,1,38.2593767,-122.06238033,3
2011,2011-05-16,1847,5,1,18,1,N,B,Y,B,H,A,D,22,E,03,A,,,,,C,Y,N,D,2,0,0,0,22350.0,2,38.24293785,-122.04379167,4
2011,2011-03-20,1105,3,1,11,7,N,B,N,B,H,A,A,01,N,09,D,,Y,,,G,N,N,A,1,0,1,0,21804.0,2,38.24746903,-122.02052546,4
2011,2011-03-02,1119,3,1,11,3,N,C,N,B,H,A,A,01,S,09,D,,,,,C,Y,N,D,1,0,0,0,21801.0,2,38.24663445,-122.02234237,4
2011,2011-05-13,715,5,1,7,5,Y,A,Y,A,H,A,-,- ,,09,D,,,,,C,N,N,A,1,0,0,0,21802.0,2,38.16080179,-121.69000633,4
2011,2011-04-30,7,4,1,0,6,N,A,N,A,H,C,A,01,N,01,A,,,,,I,Y,N,D,1,0,0,0,23152.0,1,38.0598186,-122.14170992,3
2011,2011-05-02,1840,5,1,18,1,Y,A,N,A,H,A,L,04,,12,D,,Y,,,G,N,N,D,1,0,1,0,22450.0,3,38.08747,-122.17332,4
