ACCIDENT_YEAR,COLLISION_DATE,COLLISION_TIME,MONTH,SEASON,24HOURS,DAY_OF_WEEK,INTERSECTION,WEATHER_1,STATE_HWY_IND,ROAD_SURFACE,ROAD_COND_1,LIGHTING,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,DIRECTION,PCF_VIOL_CATEGORY,TYPE_OF_COLLISION,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,MVIW,TOW_AWAY,HIT_AND_RUN,CONTROL_DEVICE,NUMBER_INJURED,COUNT_PED_INJURED,COUNT_BICYCLIST_INJURED,COUNT_MC_INJURED,PCF_VIOLATION,PARTY_COUNT,POINT_Y,POINT_X,COLLISION_SEVERITY
2011,2011-11-16,914,11,3,9,3,N,A,N,A,H,A,A,01,N,22,G,Y,,,,B,N,N,D,2,2,0,0,,3,38.45553098,-122.75205138,4
2011,2011-09-15,2007,9,3,20,4,N,A,N,A,H,C,A,07,S,09,G,Y,,,,B,N,M,A,1,1,0,0,21804.0,2,38.23337511,-122.63925151,4
2011,2011-05-19,1825,5,1,18,4,N,A,N,A,H,A,A,01,W,03,C,,,,,C,N,N,A,1,0,0,0,22350.0,2,38.31454081,-122.48333589,4
2011,2011-05-14,1255,5,1,12,6,N,B,Y,A,H,A,D,22,S,03,C,,,,,C,N,N,D,1,0,0,0,22350.0,2,38.31402949,-122.4816075,4
2011,2011-05-29,146,5,1,1,7,N,A,N,A,H,C,D,22,S,01,F,,,,,I,Y,N,D,1,0,0,0,23152.0,1,38.54303683,-122.82607377,3
2011,2011-04-26,1645,4,1,16,2,N,A,Y,A,H,A,A,01,W,03,C,,,,,C,Y,N,D,1,0,0,0,22350.0,3,38.29268377,-122.46566208,4
2011,2011-05-26,1305,5,1,13,4,Y,A,N,A,H,A,D,22,,21,C,,,,,C,N,N,A,1,0,0,0,22106.0,2,38.23334,-122.63916,4
2011,2011-05-25,1528,5,1,15,3,N,A,N,A,H,A,A,01,N,03,C,,,,,E,Y,N,D,1,0,0,0,22350.0,2,38.25307209,-122.61289425,3
2011,2011-04-18,1347,4,1,13,1,N,A,Y,A,H,A,A,01,N,04,C,,,,,C,N,N,A,1,0,0,0,21703.0,2,38.40437803,-122.82567501,4
2011,2011-01-07,1511,1,4,15,5,N,A,N,A,H,A,A,01,E,03,C,,,,,C,Y,N,D,2,0,0,0,22350.0,3,38.23882753,-122.60007323,3
2011,2011-01-05,1537,1,4,15,3,N,B,N,A,H,A,-,- ,N,10,D,Y,,,,B,N,N,A,1,1,0,0,21950.0,2,38.23350032,-122.63957706,4
2011,2011-01-04,1500,1,4,15,2,N,A,Y,A,H,A,C,02,N,08,F,,,Y,,A,Y,N,D,0,0,0,0,22107.0,1,38.49145499,-123.19278336,1
2011,2011-01-19,1448,1,4,14,3,N,A,Y,A,H,A,A,01,W,05,A,,,,,C,Y,N,D,2,0,0,0,21460.0,2,38.44296257,-122.86378191,1
2011,2011-02-01,20,2,4,0,2,N,A,N,A,H,D,A,01,W,06,B,,,,,C,Y,N,D,1,0,0,0,21750.0,2,38.55982508,-122.62868102,1
2011,2011-02-20,459,2,4,4,7,N,E,Y,B,H,D,A,07,N,08,E,,,,,I,Y,N,D,0,0,0,0,22107.0,1,38.39832496,-122.71601328,1
2011,2011-01-12,1738,1,4,17,3,N,A,Y,A,H,C,A,08,W,07,B,,,Y,,C,Y,N,D,0,0,0,0,21658.0,2,38.43336884,-122.72095269,1
2011,2011-01-03,1048,1,4,10,1,Y,A,N,A,H,A,F,26,,12,A,,,,Y,C,Y,N,A,2,0,0,0,21453.0,2,38.23533,-122.62248,4
