ACCIDENT_YEAR,COLLISION_DATE,COLLISION_TIME,MONTH,SEASON,24HOURS,DAY_OF_WEEK,INTERSECTION,WEATHER_1,STATE_HWY_IND,ROAD_SURFACE,ROAD_COND_1,LIGHTING,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,DIRECTION,PCF_VIOL_CATEGORY,TYPE_OF_COLLISION,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,MVIW,TOW_AWAY,HIT_AND_RUN,CONTROL_DEVICE,NUMBER_INJURED,COUNT_PED_INJURED,COUNT_BICYCLIST_INJURED,COUNT_MC_INJURED,PCF_VIOLATION,PARTY_COUNT,POINT_Y,POINT_X,COLLISION_SEVERITY
2011,2011-05-07,50,5,1,0,6,N,A,Y,A,H,D,A,01,E,01,E,,,,,I,Y,N,D,1,0,0,0,23152.0,1,40.2277713,-122.44753385,2
2011,2011-05-08,1850,5,1,18,7,N,A,N,A,H,A,A,01,S,06,B,,,,Y,C,N,N,D,1,0,0,0,21755.0,2,40.05621029,-122.1507102,4
2011,2011-05-10,430,5,1,4,2,N,A,N,A,H,D,D,22,E,08,E,,,,,J,Y,N,D,1,0,0,0,22107.0,1,39.91328901,-122.14502514,4
2011,2011-01-28,325,1,4,3,5,N,E,Y,B,H,C,-,- ,N,- ,D,,,,Y,C,Y,N,D,0,0,0,0,,2,39.88761412,-122.1999734,1
2011,2011-02-03,239,2,4,2,4,N,A,Y,A,H,C,-,- ,S,- ,G,Y,,,Y,B,Y,N,D,0,0,0,0,,2,40.20251091,-122.24313881,1
2011,2011-02-25,2310,2,4,23,5,N,B,N,B,H,D,A,07,N,01,E,,,,,I,Y,N,D,1,0,0,0,23152.0,1,,,1
2011,2011-02-11,1640,2,4,16,5,N,A,N,A,H,A,D,22,W,03,C,,,Y,,C,Y,N,D,0,0,0,0,22350.0,3,39.90608626,-122.15820201,1
2011,2011-03-21,615,3,1,6,1,N,B,N,A,H,C,D,22,E,12,H,,,,,F,Y,N,A,0,0,0,0,22451.0,1,,,1
2011,2011-03-26,1733,3,1,17,6,N,B,Y,A,H,A,D,22,S,01,H,,Y,,,G,Y,F,A,0,0,0,0,23152.0,2,40.17725133,-122.23473795,1
2011,2011-01-26,745,1,4,7,3,Y,A,N,A,A,A,F,25,,09,C,,,,Y,C,N,N,D,1,0,0,0,21802.0,2,,,4
2011,2011-01-01,2300,1,4,23,6,N,C,N,B,H,D,A,01,S,08,E,,,,,I,Y,N,D,3,0,0,0,22107.0,1,40.130931,-122.204699,2
2011,2011-01-18,820,1,4,8,2,N,A,Y,A,H,A,A,07,W,08,E,,,,,I,Y,N,D,1,0,0,0,22107.0,1,40.22368934,-122.29616198,3
2011,2011-01-22,1210,1,4,12,6,N,A,N,A,H,A,A,01,N,08,F,,,,,A,Y,N,D,2,0,0,0,22107.0,1,,,3
2011,2011-01-01,438,1,4,4,6,N,C,N,B,H,D,A,07,W,08,E,,,,,I,Y,M,D,1,0,0,0,22107.0,1,39.93537518,-122.20359312,3
2011,2011-01-16,540,1,4,5,7,N,E,Y,B,H,D,-,- ,S,18,E,,,,,I,Y,N,D,2,0,0,0,,1,39.84978864,-122.19989129,3
2011,2011-01-18,910,1,4,9,2,N,A,Y,C,H,A,A,07,W,03,E,,,,,I,N,N,D,1,0,0,0,22350.0,1,40.35706529,-121.5393076,4
2011,2011-02-03,1210,2,4,12,4,N,A,N,A,H,A,A,01,W,08,F,,,,,A,Y,N,D,1,0,0,0,22107.0,1,40.15817,-122.35591,3
2011,2011-01-13,919,1,4,9,4,N,C,Y,B,H,A,A,01,S,03,B,,,,,C,Y,N,D,2,0,0,0,22350.0,2,39.90186218,-121.99874059,3
2011,2011-01-15,1300,1,4,13,6,N,A,Y,A,H,A,D,22,N,01,E,,,,,I,Y,N,D,1,0,0,0,23152.0,1,40.31715143,-122.28034748,3
2011,2011-01-06,1045,1,4,10,4,N,A,Y,A,H,A,A,01,N,03,C,,,,,C,N,N,D,1,0,0,0,22350.0,2,40.25924859,-122.26482293,4
