ACCIDENT_YEAR,COLLISION_DATE,COLLISION_TIME,MONTH,SEASON,24HOURS,DAY_OF_WEEK,INTERSECTION,WEATHER_1,STATE_HWY_IND,ROAD_SURFACE,ROAD_COND_1,LIGHTING,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,DIRECTION,PCF_VIOL_CATEGORY,TYPE_OF_COLLISION,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,MVIW,TOW_AWAY,HIT_AND_RUN,CONTROL_DEVICE,NUMBER_INJURED,COUNT_PED_INJURED,COUNT_BICYCLIST_INJURED,COUNT_MC_INJURED,PCF_VIOLATION,PARTY_COUNT,POINT_Y,POINT_X,COLLISION_SEVERITY
2011,2011-01-17,1640,1,4,16,1,N,A,Y,A,H,A,D,22,E,08,E,,,,,I,Y,N,D,1,0,0,0,22107.0,1,40.73771517,-123.00071364,3
2011,2011-01-26,1800,1,4,18,3,Y,A,Y,A,H,D,L,04,,01,H,,Y,,,G,N,N,D,1,0,1,0,21200.0,2,40.72312479,-122.92958431,3
2011,2011-02-15,948,2,4,9,2,N,B,Y,B,H,A,D,22,E,08,F,,,,,A,N,N,D,1,0,0,0,22107.0,1,40.88697981,-123.55963218,4
2011,2011-02-04,1440,2,4,14,5,Y,A,Y,A,H,A,A,07,,09,D,,,,,C,Y,N,D,2,0,0,0,21802.0,2,40.73276739,-122.94047126,3
2011,2011-02-04,2012,2,4,20,5,N,A,N,A,H,C,D,22,N,01,E,,,,,I,Y,F,D,2,0,0,0,23152.0,1,40.72769958,-122.94487904,2
2011,2011-03-24,1820,3,1,18,4,N,C,Y,B,H,A,D,22,N,01,E,,,,,I,Y,N,D,1,0,0,0,23152.0,1,40.55290783,-123.16469751,3
2011,2011-03-14,1715,3,1,17,1,N,B,Y,A,H,A,A,01,S,03,E,,,,,I,Y,N,D,2,0,0,0,22350.0,1,40.85307208,-122.8302553,4
2011,2011-03-29,1430,3,1,14,2,N,C,Y,B,H,A,F,26,W,03,C,,,,Y,C,Y,N,D,1,0,0,0,22350.0,2,40.86974231,-123.52224083,4
2011,2011-03-30,1835,3,1,18,3,N,A,Y,A,H,A,D,22,S,03,B,,Y,,,G,N,N,D,1,0,1,0,22350.0,2,40.55883801,-123.12286469,4
2011,2011-03-06,140,3,1,1,7,N,B,Y,B,H,D,A,07,S,01,E,,,,,I,Y,N,D,1,0,0,0,23152.0,1,40.51612367,-123.17948111,2
2011,2011-04-07,1850,4,1,18,4,N,C,Y,B,H,B,D,22,W,03,E,,,,,I,Y,N,D,1,0,0,0,22350.0,1,40.88645635,-123.58794813,3
2011,2011-04-03,5,4,1,0,7,N,A,Y,A,H,D,A,01,W,01,E,,,,,I,Y,N,D,2,0,0,0,23152.0,1,40.74099991,-122.97984342,3
2011,2011-04-16,915,4,1,9,6,N,B,Y,B,H,A,A,01,E,03,E,,,,,I,Y,N,D,2,0,0,0,22350.0,1,40.8008368,-123.46503907,3
2011,2011-04-08,1600,4,1,16,5,N,A,Y,A,H,A,C,02,E,08,F,,,Y,,A,Y,N,D,1,0,0,1,22107.0,1,40.82679514,-123.48536372,2
2011,2011-05-05,1720,5,1,17,4,N,A,Y,A,H,A,D,22,S,08,H,,Y,,,G,N,F,D,1,0,1,0,22107.0,2,40.55357327,-123.16890913,3
2011,2011-04-23,1200,4,1,12,6,N,B,Y,B,H,A,A,01,N,08,E,,,,,I,Y,N,D,1,0,0,0,22107.0,1,40.85112817,-122.83265795,3
