ACCIDENT_YEAR,COLLISION_DATE,COLLISION_TIME,MONTH,SEASON,24HOURS,DAY_OF_WEEK,INTERSECTION,WEATHER_1,STATE_HWY_IND,ROAD_SURFACE,ROAD_COND_1,LIGHTING,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,DIRECTION,PCF_VIOL_CATEGORY,TYPE_OF_COLLISION,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,MVIW,TOW_AWAY,HIT_AND_RUN,CONTROL_DEVICE,NUMBER_INJURED,COUNT_PED_INJURED,COUNT_BICYCLIST_INJURED,COUNT_MC_INJURED,PCF_VIOLATION,PARTY_COUNT,POINT_Y,POINT_X,COLLISION_SEVERITY
2011,2011-12-08,1230,12,4,12,4,N,A,N,A,H,A,-,- ,E,09,D,,,,,C,Y,N,D,1,0,0,0,21804.0,2,34.27169627,-118.77386997,4
2011,2011-05-01,1319,5,1,13,7,Y,A,N,A,H,A,L,04,,09,D,,Y,,,G,N,N,A,1,0,1,0,21804.0,2,34.27905,-118.73056,4
2011,2011-04-02,500,4,1,5,6,N,A,N,A,H,C,A,01,E,08,B,,,,,E,Y,N,D,1,0,0,0,22107.0,2,34.18649076,-118.95167831,4
2011,2011-04-05,1120,4,1,11,2,N,A,N,A,H,A,A,07,W,08,E,,,,,I,Y,N,D,1,0,0,0,22107.0,1,34.18483305,-118.90354118,3
2011,2011-04-05,1052,4,1,10,2,N,A,N,A,H,A,A,01,W,07,B,,,,,C,N,N,D,1,0,0,0,21658.0,2,34.16191737,-118.82480158,4
2011,2011-04-05,1808,4,1,18,2,N,A,N,A,H,A,A,01,S,07,C,,,Y,,C,N,N,D,1,0,0,1,21658.0,2,34.17871448,-118.87654979,3
2011,2011-04-01,1813,4,1,18,5,N,A,N,A,H,A,C,02,S,03,C,,,Y,,C,N,N,D,1,0,0,1,22350.0,2,34.17742666,-118.85822764,4
2011,2011-04-01,1708,4,1,17,5,Y,A,N,A,H,A,A,01,,09,H,,,,,C,N,N,D,2,0,0,0,21801.0,2,34.17432,-118.84083,4
2011,2011-03-31,1818,3,1,18,4,N,A,Y,A,H,A,L,04,W,08,E,,Y,,,I,N,N,D,1,0,1,0,22107.0,1,34.15220663,-118.82912845,2
2011,2011-04-07,812,4,1,8,4,Y,B,N,A,H,A,A,01,,09,D,,,,,C,N,N,D,1,0,0,0,21800.0,2,34.22798,-119.06052,3
