ACCIDENT_YEAR,COLLISION_DATE,COLLISION_TIME,MONTH,SEASON,24HOURS,DAY_OF_WEEK,INTERSECTION,WEATHER_1,STATE_HWY_IND,ROAD_SURFACE,ROAD_COND_1,LIGHTING,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,DIRECTION,PCF_VIOL_CATEGORY,TYPE_OF_COLLISION,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,MVIW,TOW_AWAY,HIT_AND_RUN,CONTROL_DEVICE,NUMBER_INJURED,COUNT_PED_INJURED,COUNT_BICYCLIST_INJURED,COUNT_MC_INJURED,PCF_VIOLATION,PARTY_COUNT,POINT_Y,POINT_X,COLLISION_SEVERITY
2011,2011-08-01,1600,8,2,16,1,Y,A,N,A,H,A,A,01,,08,E,,,,,I,N,N,D,1,0,0,0,22107.0,1,38.676078,-121.883931,4
2011,2011-05-19,800,5,1,8,4,Y,A,N,A,H,A,D,22,,09,D,,,,,C,Y,N,D,1,0,0,0,21804.0,2,38.57273,-121.55457,4
2011,2011-05-28,1310,5,1,13,6,Y,B,Y,A,H,A,D,22,,12,D,,,,,C,Y,N,A,1,0,0,0,21453.0,2,38.57511512,-121.54689312,3
2011,2011-05-26,1624,5,1,16,4,Y,A,N,A,H,A,D,22,,12,A,,,,,C,Y,N,A,2,0,0,0,21453.0,2,38.67718,-121.75301,4
2011,2011-04-17,1045,4,1,10,7,N,A,N,A,E,A,-,- ,E,00,C,,,,,C,Y,N,D,2,0,0,0,23103.0,2,38.58648236,-121.50718966,3
2011,2011-04-25,1854,4,1,18,1,Y,A,N,A,H,A,L,04,,12,D,,Y,,,G,N,N,A,1,0,1,0,22450.0,2,38.54012,-121.5686,2
2011,2011-04-21,1830,4,1,18,4,N,A,N,A,H,A,A,01,W,21,D,,,,,C,N,N,D,1,0,0,0,22106.0,2,38.55333625,-121.72842029,4
2011,2011-04-17,204,4,1,2,7,Y,A,N,A,H,C,-,- ,,01,C,,,,,C,N,N,A,1,0,0,0,23152.0,2,38.55082,-121.75866,4
2011,2011-05-09,2359,5,1,23,1,Y,A,N,A,H,C,A,01,,09,D,,,,,C,N,N,A,1,0,0,0,21802.0,2,38.54696,-121.74324,4
2011,2011-01-02,2230,1,4,22,7,N,A,N,A,H,C,N,60,S,11,G,Y,,,,B,Y,N,A,0,0,0,0,21954.0,2,38.67741,-121.76543,1
2011,2011-01-14,1610,1,4,16,5,N,A,Y,A,H,A,F,55,W,08,C,,,,Y,E,Y,N,D,1,0,0,0,22107.0,2,38.57319512,-121.58343313,4
2011,2011-01-21,755,1,4,7,5,N,A,Y,A,H,A,A,07,W,03,B,,,,,C,Y,N,D,1,0,0,0,22350.0,2,38.68454411,-121.98666855,4
2011,2011-01-26,1300,1,4,13,3,N,A,Y,A,H,A,C,02,E,08,E,,,Y,,I,Y,N,D,1,0,0,1,22107.0,1,38.4954641,-122.02086742,4
2011,2011-01-01,1750,1,4,17,6,N,B,Y,B,H,D,A,01,W,08,E,,,,,I,Y,N,D,1,0,0,0,22107.0,1,38.56829857,-121.61080603,4
2011,2011-01-12,654,1,4,6,3,Y,-,N,A,H,B,L,04,,12,D,,Y,,,G,N,N,A,2,0,1,0,22450.0,2,38.67562,-121.77065,4
2011,2011-01-20,923,1,4,9,4,N,A,Y,A,H,A,A,01,E,03,C,,,,,C,Y,N,D,4,0,0,0,22350.0,2,38.57541838,-121.560392,4
2011,2011-01-21,1310,1,4,13,5,N,A,Y,A,H,A,A,01,S,02,C,,,,,C,Y,N,D,2,0,0,0,22400.0,2,38.67402483,-121.95177055,4
2011,2011-01-30,345,1,4,3,7,N,C,N,B,H,C,A,01,W,01,E,,,,,I,Y,M,D,1,0,0,0,23152.0,1,38.67021511,-121.77389529,3
2011,2011-02-03,45,2,4,0,4,N,A,Y,A,H,E,G,25,N,08,F,,,,Y,I,Y,N,D,1,0,0,0,22107.0,1,38.70496511,-121.78616318,3
2011,2011-01-10,1515,1,4,15,1,Y,A,N,A,H,A,A,01,,- ,D,,Y,,,G,N,N,D,1,0,1,0,,2,38.57937,-121.54537,3
2011,2011-01-02,1120,1,4,11,7,N,C,N,B,H,A,A,01,S,05,C,,,,,C,Y,N,D,1,0,0,0,21650.0,2,38.57489228,-121.52438884,4
2011,2011-01-13,907,1,4,9,4,Y,B,Y,B,H,A,A,01,,12,D,,,,,C,Y,N,A,2,0,0,0,21453.0,2,38.55426511,-121.68935314,4
2011,2011-01-04,1516,1,4,15,2,N,A,N,A,H,A,A,01,W,09,D,,,,,C,Y,N,A,2,0,0,0,21804.0,2,38.67753502,-121.78540636,2
2011,2011-01-08,1745,1,4,17,6,N,B,N,A,H,D,A,01,S,08,E,,,,,I,Y,N,D,1,0,0,0,22107.0,1,38.47719012,-121.54580646,4
2011,2011-01-14,22,1,4,0,5,N,B,N,A,H,E,A,01,W,01,C,,,,,C,Y,N,D,1,0,0,0,23152.0,2,38.56148569,-121.80337308,4
2011,2011-01-23,940,1,4,9,7,N,E,Y,B,H,A,A,01,E,08,E,,,,,C,Y,N,D,1,0,0,0,22107.0,2,38.5459316,-121.7250172,4
