ACCIDENT_YEAR,COLLISION_DATE,COLLISION_TIME,MONTH,SEASON,24HOURS,DAY_OF_WEEK,INTERSECTION,WEATHER_1,STATE_HWY_IND,ROAD_SURFACE,ROAD_COND_1,LIGHTING,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,DIRECTION,PCF_VIOL_CATEGORY,TYPE_OF_COLLISION,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,MVIW,TOW_AWAY,HIT_AND_RUN,CONTROL_DEVICE,NUMBER_INJURED,COUNT_PED_INJURED,COUNT_BICYCLIST_INJURED,COUNT_MC_INJURED,PCF_VIOLATION,PARTY_COUNT,POINT_Y,POINT_X,COLLISION_SEVERITY
2011,2011-05-24,758,5,1,7,2,N,A,Y,A,H,A,C,02,N,03,C,,,Y,,C,Y,N,D,1,0,0,1,22350.0,2,39.13619743,-121.58989123,2
2011,2011-05-09,1802,5,1,18,1,Y,A,N,A,H,A,-,- ,,03,C,,,,,C,Y,N,A,1,0,0,0,22350.0,2,39.14317,-121.59555,3
2011,2011-04-26,1936,4,1,19,2,Y,A,N,A,H,A,A,01,,12,D,,,,,C,N,N,A,2,0,0,0,21453.0,2,39.10201,-121.41043,4
2011,2011-04-29,1245,4,1,12,5,N,A,N,A,H,A,A,07,N,08,E,,,,,I,Y,N,D,2,0,0,0,22107.0,1,39.26747489,-121.39291721,3
2011,2011-01-06,1435,1,4,14,4,N,A,N,A,H,A,A,01,E,01,E,,,,,I,N,N,D,1,0,0,0,23152.0,1,39.44768162,-121.30545405,3
2011,2011-01-12,1825,1,4,18,3,N,A,N,A,H,D,A,01,S,05,E,,,,,J,Y,N,D,1,0,0,0,21650.0,1,39.31162776,-121.36950334,4
2011,2011-01-27,1340,1,4,13,4,N,A,Y,A,H,A,A,01,S,08,A,,,,,C,Y,N,D,2,0,0,0,22107.0,2,39.20762467,-121.59617338,4
2011,2011-01-25,1830,1,4,18,2,N,A,Y,A,H,D,D,22,N,01,E,,,,,I,Y,N,D,1,0,0,0,23152.0,1,39.19019879,-121.59474208,3
2011,2011-01-29,1330,1,4,13,6,N,B,Y,A,H,-,A,01,W,21,C,,,,,C,Y,N,D,1,0,0,0,22106.0,2,39.20487033,-121.30161941,3
2011,2011-01-31,635,1,4,6,1,N,A,N,A,H,C,A,01,E,09,D,,,,,C,Y,N,D,2,0,0,0,21804.0,2,39.12735741,-121.5629758,4
2011,2011-01-21,1740,1,4,17,5,N,A,N,A,H,B,A,01,S,21,D,,Y,,,G,N,N,D,1,0,1,0,22106.0,2,39.11521385,-121.56741112,4
2011,2011-01-24,1435,1,4,14,1,N,A,N,A,H,A,A,07,E,08,E,,,,,I,Y,N,D,1,0,0,0,22107.0,1,39.23471889,-121.45422919,3
2011,2011-01-24,1838,1,4,18,1,Y,A,N,A,H,C,A,01,,10,G,Y,,,,B,N,N,D,1,1,0,0,21950.0,2,39.15834,-121.58091,2
2011,2011-01-25,1150,1,4,11,2,N,A,N,A,H,A,A,01,E,03,C,,,,,C,N,N,D,3,0,0,0,22350.0,2,39.1278862,-121.54460796,4
2011,2011-01-06,2002,1,4,20,4,Y,E,N,A,H,C,C,02,,03,B,,,Y,,C,Y,N,A,1,0,0,1,22350.0,2,39.14391,-121.58646,4
2011,2011-01-14,1805,1,4,18,5,N,A,N,A,H,B,N,60,W,11,G,Y,,,,B,N,N,D,1,1,0,0,21954.0,2,39.12457317,-121.56059959,2
2011,2011-01-27,610,1,4,6,4,N,E,N,B,H,D,A,07,S,05,F,,,,,A,Y,N,D,1,0,0,0,21650.0,1,39.17678908,-121.57276929,4
2011,2011-01-19,1335,1,4,13,3,N,A,N,A,H,A,D,22,N,03,C,,,,,C,N,N,D,2,0,0,0,22350.0,2,39.10602908,-121.55197363,4
2011,2011-01-06,845,1,4,8,4,N,E,N,A,H,A,A,01,N,03,C,,,,,C,Y,N,D,1,0,0,0,22350.0,2,39.26286065,-121.39394755,4
2011,2011-01-01,310,1,4,3,6,Y,B,N,B,H,C,A,01,,01,E,,,,,I,Y,N,A,1,0,0,0,23152.0,1,39.11384,-121.52369,3
2011,2011-01-11,1330,1,4,13,2,Y,A,N,A,H,A,D,22,,10,G,Y,,,,B,N,F,A,1,1,0,0,21950.0,2,39.13822,-121.5872,3
2011,2011-01-03,710,1,4,7,1,N,A,N,C,H,A,A,01,W,08,E,,,,,H,Y,N,D,1,0,0,0,22107.0,1,39.36088439,-121.30351871,3
2011,2011-02-05,1900,2,4,19,6,N,A,N,A,H,D,F,26,,00,A,,,,Y,E,Y,F,D,2,0,0,0,20001.0,2,39.017547,-121.413879,3
2011,2011-01-16,1635,1,4,16,7,N,A,N,A,H,A,B,01,N,07,A,,,,,I,Y,N,D,1,0,0,0,21658.0,1,39.14777619,-121.5824871,4
2011,2011-01-19,1303,1,4,13,3,N,A,N,A,H,A,D,22,N,04,C,,,,,C,N,N,A,1,0,0,0,21703.0,2,39.10722267,-121.39518496,4
2011,2011-02-22,1401,2,4,14,2,N,A,Y,A,H,A,A,01,S,03,C,,,,Y,C,Y,N,D,1,0,0,0,22350.0,2,39.13632568,-121.58990718,3
2011,2011-01-21,1853,1,4,18,5,Y,A,N,A,H,C,A,01,,09,A,,,,,C,Y,N,A,1,0,0,0,21801.0,2,39.10684,-121.41262,4
2011,2011-02-05,1709,2,4,17,6,N,A,N,A,H,A,-,- ,N,00,G,,,,,E,Y,N,D,1,0,0,0,,3,39.155433,-121.57388149,4
2011,2011-01-31,1455,1,4,14,1,Y,A,N,A,H,A,A,01,,10,G,Y,,,,B,N,N,A,1,1,0,0,21950.0,2,39.10073,-121.41039,4
2011,2011-03-05,1155,3,1,11,6,Y,A,N,A,H,A,-,- ,,00,D,,,,,C,Y,N,D,1,0,0,0,,2,39.31664188,-121.35783434,4
2011,2011-02-18,1330,2,4,13,5,N,C,N,B,H,A,A,07,S,03,E,,,,,J,Y,N,D,1,0,0,0,22350.0,1,39.29261845,-121.37959667,3
2011,2011-02-08,1045,2,4,10,2,N,A,N,A,H,A,A,07,S,05,F,,,,,I,Y,N,D,1,0,0,0,21650.0,1,39.22825353,-121.5108532,4
2011,2011-02-14,1255,2,4,12,1,N,B,N,A,H,A,A,01,E,03,C,,,,,C,Y,N,D,1,0,0,0,22350.0,2,39.12759335,-121.55625958,3
2011,2011-02-16,1400,2,4,14,3,N,D,N,C,H,A,A,07,S,03,E,,,,,I,Y,N,D,1,0,0,0,22350.0,1,39.49398652,-121.20818522,4
2011,2011-02-16,1140,2,4,11,3,N,B,Y,A,H,A,-,99,E,05,B,,,,,C,N,F,D,1,0,0,0,21460.0,2,39.21715343,-121.4763975,3
2011,2011-02-15,1050,2,4,10,2,N,B,Y,A,H,A,D,22,N,08,E,,,,,I,Y,N,D,1,0,0,0,22107.0,1,39.10669009,-121.55405659,2
2011,2011-02-15,1059,2,4,10,2,N,B,Y,A,H,A,A,01,S,03,C,,,,,C,Y,N,D,2,0,0,0,22350.0,2,39.10260505,-121.55053004,4
2011,2011-02-11,1815,2,4,18,5,N,A,Y,A,D,C,D,22,S,03,C,,,,,C,Y,N,D,1,0,0,0,22350.0,2,39.12416516,-121.5768032,4
2011,2011-02-14,2105,2,4,21,1,N,C,Y,B,H,D,D,22,W,03,E,,,,,I,Y,N,A,1,0,0,0,22350.0,1,39.20481408,-121.30069614,4
2011,2011-02-03,1600,2,4,16,4,N,A,N,A,H,A,-,- ,S,18,E,,,,,I,Y,N,D,1,0,0,0,,1,39.14026942,-121.56836493,4
2011,2011-03-18,2049,3,1,20,5,Y,B,N,B,H,C,A,01,,08,D,,,,,C,N,N,D,2,0,0,0,22108.0,2,39.082788,-121.5517995,4
2011,2011-02-26,2100,2,4,21,6,N,A,N,A,H,D,D,22,W,03,E,,,,,I,Y,N,A,1,0,0,0,22350.0,1,38.9782864,-121.57416612,3
2011,2011-02-05,1745,2,4,17,6,Y,A,Y,A,H,C,A,01,,09,D,,,,,C,N,N,D,1,0,0,0,21801.0,2,39.1008976,-121.54807061,4
2011,2011-02-12,850,2,4,8,6,N,A,N,A,H,A,A,01,E,01,E,,,,,J,Y,N,D,2,0,0,0,23152.0,1,39.13995252,-121.56686039,2
2011,2011-02-17,1510,2,4,15,4,N,B,N,C,H,A,A,07,N,03,D,,,,,C,Y,N,D,3,0,0,0,22350.0,2,39.47916572,-121.25367169,4
2011,2011-02-13,2118,2,4,21,7,Y,A,N,A,H,D,A,08,,01,E,,,,,I,Y,M,A,2,0,0,0,23152.0,1,39.26526,-121.52985,3
2011,2011-02-27,151,2,4,1,7,Y,A,N,A,H,C,A,01,,12,D,,,,,C,Y,N,A,1,0,0,0,21453.0,2,39.12564,-121.57578,4
2011,2011-03-24,1500,3,1,15,4,N,B,N,B,H,A,D,22,N,03,H,,,,,I,Y,N,D,1,0,0,0,22350.0,1,39.12923353,-121.58439875,4
2011,2011-03-31,1610,3,1,16,4,N,A,N,A,H,A,A,07,N,03,C,,,,,C,Y,N,D,1,0,0,0,22350.0,3,39.11458194,-121.55923227,4
2011,2011-03-20,1455,3,1,14,7,N,C,Y,B,H,A,D,22,S,03,E,,,,,I,Y,N,D,1,0,0,0,22350.0,1,39.13619743,-121.58989123,4
2011,2011-02-05,1315,2,4,13,6,N,A,N,A,H,A,C,02,N,05,F,,,Y,,A,Y,N,D,1,0,0,1,21650.0,1,39.29038997,-121.38599364,3
2011,2011-03-04,1426,3,1,14,5,N,A,N,A,H,A,N,60,N,11,G,Y,,,,B,N,N,D,1,1,0,0,21954.0,2,39.10464689,-121.55318632,3
2011,2011-03-06,1229,3,1,12,7,Y,C,Y,B,H,A,A,01,,04,C,,,,,C,N,N,A,3,0,0,0,21703.0,2,39.14399865,-121.59116035,4
2011,2011-03-08,10,3,1,0,2,N,A,N,A,H,D,D,22,S,01,E,,,,,I,Y,N,D,1,0,0,0,23152.0,1,39.26827931,-121.39320195,3
2011,2011-03-07,1733,3,1,17,1,N,A,N,A,H,B,D,22,S,01,-,Y,,,,B,Y,N,D,2,1,0,0,23152.0,2,39.12335229,-121.55980458,2
2011,2011-03-10,1510,3,1,15,4,N,A,Y,A,H,A,A,01,E,09,F,,,,,I,Y,N,A,1,0,0,0,21804.0,2,39.23030502,-121.40095492,4
2011,2011-03-06,1448,3,1,14,7,Y,B,N,B,H,A,A,01,,09,D,,,,,C,N,N,A,1,0,0,0,21802.0,2,39.13983,-121.59507,4
2011,2011-03-19,1235,3,1,12,6,N,C,Y,B,H,A,A,01,N,07,B,,,,,C,Y,N,D,1,0,0,0,21658.0,2,39.09138875,-121.5414613,4
2011,2011-03-19,2215,3,1,22,6,N,C,Y,B,H,C,J,48,S,22,E,,,,,I,Y,N,D,1,0,0,0,,1,39.09713278,-121.5443464,2
2011,2011-03-30,1850,3,1,18,3,N,A,Y,A,H,D,-,- ,S,18,E,,,,,H,Y,N,D,1,0,0,0,,1,39.04896698,-121.54335011,3
2011,2011-02-17,751,2,4,7,4,N,C,Y,B,H,A,A,07,S,08,E,,,,,I,Y,N,D,1,0,0,0,22107.0,1,39.1006832,-121.54753686,2
2011,2011-03-03,1922,3,1,19,4,N,A,N,A,H,D,D,22,S,01,E,,,,,I,Y,N,D,2,0,0,0,23152.0,1,39.09133877,-121.57887319,2
2011,2011-03-04,1153,3,1,11,5,Y,A,N,A,H,A,A,01,,04,C,,,,,C,Y,M,A,1,0,0,0,21703.0,2,39.10892,-121.39519,4
2011,2011-04-07,1645,4,1,16,4,N,B,N,A,H,A,D,22,E,05,A,,,,,C,Y,N,D,2,0,0,0,21460.0,2,39.32623069,-121.46478252,4
2011,2011-04-11,1545,4,1,15,1,Y,A,N,A,H,A,A,01,,09,D,,,,Y,C,Y,N,A,2,0,0,0,21802.0,2,39.32854,-121.34177,3
2011,2011-04-07,1050,4,1,10,4,N,B,N,A,H,A,D,22,W,08,D,,,,,C,Y,N,D,1,0,0,0,22107.0,2,39.12786475,-121.54546425,4
