ACCIDENT_YEAR,COLLISION_DATE,COLLISION_TIME,MONTH,SEASON,24HOURS,DAY_OF_WEEK,INTERSECTION,WEATHER_1,STATE_HWY_IND,ROAD_SURFACE,ROAD_COND_1,LIGHTING,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,DIRECTION,PCF_VIOL_CATEGORY,TYPE_OF_COLLISION,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,MVIW,TOW_AWAY,HIT_AND_RUN,CONTROL_DEVICE,NUMBER_INJURED,COUNT_PED_INJURED,COUNT_BICYCLIST_INJURED,COUNT_MC_INJURED,PCF_VIOLATION,PARTY_COUNT,POINT_Y,POINT_X,COLLISION_SEVERITY
2011,2011-02-09,1914,2,4,19,3,N,A,Y,A,H,D,N,60,N,11,G,Y,,,,B,N,N,D,0,0,0,0,21954.0,2,41.76676087,-124.19346955,1
2011,2011-04-17,2230,4,1,22,7,N,B,N,B,H,D,A,01,E,01,C,,,,,E,Y,N,D,3,0,0,0,23152.0,3,41.92661058,-124.15031136,1
2011,2011-01-30,2140,1,4,21,7,N,A,N,A,H,C,D,22,E,01,A,,,,,E,N,N,D,1,0,0,0,23152.0,2,41.81490125,-124.15623602,4
2011,2011-01-27,1130,1,4,11,4,Y,A,Y,A,H,A,D,22,,09,D,,,,,C,Y,N,A,3,0,0,0,21802.0,2,41.80824665,-124.14746128,3
2011,2011-01-05,1140,1,4,11,3,N,A,Y,A,H,A,D,22,S,08,B,,,,,C,N,N,D,1,0,0,0,22107.0,2,41.79976515,-124.15067397,4
2011,2011-01-05,1530,1,4,15,3,N,A,N,A,H,A,L,04,E,01,F,,Y,,,A,N,N,D,1,0,1,0,21200.0,1,41.75819894,-124.16612059,3
2011,2011-02-17,245,2,4,2,4,N,C,Y,B,H,D,D,22,N,01,E,,,,,I,N,N,D,1,0,0,0,23152.0,1,41.83093709,-124.0347432,3
2011,2011-01-15,1510,1,4,15,6,N,C,Y,B,H,A,A,07,N,03,E,,,,,I,Y,N,D,1,0,0,0,22350.0,1,41.86836357,-123.83263563,4
2011,2011-01-13,855,1,4,8,4,N,B,Y,B,H,A,A,01,S,03,E,,,,,I,Y,N,D,1,0,0,0,22350.0,1,41.55058015,-124.05336458,3
2011,2011-01-12,1803,1,4,18,3,Y,B,N,B,H,C,D,22,,03,C,,,,,C,N,N,A,1,0,0,0,22350.0,2,41.77272,-124.20037,4
2011,2011-01-11,1455,1,4,14,2,N,B,N,A,H,A,-,- ,W,18,H,,Y,,,A,N,N,D,1,0,1,0,,1,41.80928702,-124.15564835,3
2011,2011-01-08,1827,1,4,18,6,N,A,Y,A,H,D,N,60,S,11,G,Y,,,,B,Y,N,D,1,1,0,0,21956.0,2,41.95628886,-124.2044728,2
2011,2011-01-28,2115,1,4,21,5,Y,B,N,A,H,C,A,07,,12,D,,,,,C,Y,N,A,5,0,0,0,21453.0,2,41.77275,-124.21038,4
2011,2011-01-29,1800,1,4,18,6,N,C,Y,B,H,D,A,01,S,03,E,,,,,I,Y,N,D,1,0,0,0,22350.0,1,41.83955438,-124.03439248,4
2011,2011-01-16,1830,1,4,18,7,N,B,N,B,H,D,-,- ,S,18,H,,,,,H,Y,N,D,1,0,0,0,,1,41.88952993,-124.18080169,3
2011,2011-03-03,35,3,1,0,4,N,C,Y,B,H,D,-,- ,N,18,E,,,,Y,J,Y,N,D,1,0,0,0,,1,41.80546631,-124.05218409,2
2011,2011-02-16,1400,2,4,14,3,N,D,Y,C,H,A,A,01,S,03,E,,,,,I,Y,N,D,1,0,0,0,22350.0,1,41.69435895,-124.11315169,2
2011,2011-02-25,808,2,4,8,5,N,A,N,C,H,A,A,07,W,03,E,,,,,I,Y,N,D,1,0,0,0,22350.0,1,41.86504703,-124.14854975,4
