ACCIDENT_YEAR,COLLISION_DATE,COLLISION_TIME,MONTH,SEASON,24HOURS,DAY_OF_WEEK,INTERSECTION,WEATHER_1,STATE_HWY_IND,ROAD_SURFACE,ROAD_COND_1,LIGHTING,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,DIRECTION,PCF_VIOL_CATEGORY,TYPE_OF_COLLISION,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,MVIW,TOW_AWAY,HIT_AND_RUN,CONTROL_DEVICE,NUMBER_INJURED,COUNT_PED_INJURED,COUNT_BICYCLIST_INJURED,COUNT_MC_INJURED,PCF_VIOLATION,PARTY_COUNT,POINT_Y,POINT_X,COLLISION_SEVERITY
2011,2011-04-03,1755,4,1,17,7,N,A,N,A,H,A,A,01,W,08,E,,,,,I,Y,N,D,1,0,0,0,22107.0,1,39.93930528,-120.96271292,2
2011,2011-04-02,905,4,1,9,6,N,B,Y,B,H,A,-,- ,E,18,E,,,Y,,J,N,N,D,1,0,0,1,,1,40.01401146,-121.21715167,2
2011,2011-03-18,755,3,1,7,5,N,B,Y,C,H,A,A,07,W,08,E,,,,,I,Y,N,D,1,0,0,0,22107.0,1,39.88884532,-120.78406654,2
2011,2011-05-09,740,5,1,7,1,N,B,Y,A,H,A,F,24,S,03,F,,,,Y,A,Y,N,D,1,0,0,0,22350.0,1,40.30494406,-121.14300061,3
2011,2011-05-19,1945,5,1,19,4,N,A,Y,A,H,B,D,22,E,01,E,,,,,J,Y,N,D,1,0,0,0,23152.0,1,39.80636871,-120.48260791,2
2011,2011-05-22,1430,5,1,14,7,N,A,Y,A,H,A,D,22,E,08,E,,,,,I,Y,N,D,1,0,0,0,22107.0,1,40.01336707,-121.18538221,2
2011,2011-01-26,1531,1,4,15,3,N,A,Y,A,H,A,A,01,S,01,E,,,,,I,Y,N,D,0,0,0,0,23152.0,1,39.73313393,-120.55769898,1
2011,2011-01-10,835,1,4,8,1,Y,A,Y,A,H,A,F,25,,05,B,,,,Y,C,N,N,D,1,0,0,0,21460.0,2,40.17516009,-120.98663333,4
2011,2011-01-30,1600,1,4,16,7,N,A,N,A,H,A,A,01,E,08,E,,,,,I,Y,N,D,2,0,0,0,22107.0,1,39.81972951,-120.4431662,3
2011,2011-01-14,645,1,4,6,5,N,B,Y,B,H,B,D,22,E,03,F,,,,,A,Y,N,D,2,0,0,0,22350.0,1,39.80988444,-120.31142314,4
2011,2011-01-13,2150,1,4,21,4,N,A,Y,C,H,D,D,22,N,03,E,,,,,I,N,N,D,1,0,0,0,22350.0,1,40.25182483,-121.2329015,3
2011,2011-02-08,1418,2,4,14,2,Y,A,Y,A,H,A,N,60,,11,G,Y,,,,B,N,N,D,1,1,0,0,21950.0,2,39.93676263,-120.94633221,4
2011,2011-02-08,1215,2,4,12,2,N,A,Y,A,H,A,A,07,E,03,C,,,,,C,N,N,A,1,0,0,0,22350.0,2,39.93765303,-120.9473193,4
2011,2011-03-24,1030,3,1,10,4,N,D,Y,C,H,A,D,22,E,03,A,,,,,C,Y,N,A,2,0,0,0,22350.0,3,40.03547468,-120.97701977,4
2011,2011-02-14,850,2,4,8,1,N,B,Y,C,H,A,A,07,N,03,E,,,,,I,N,N,D,1,0,0,0,22350.0,1,40.18804604,-121.10143792,4
2011,2011-03-18,105,3,1,1,5,N,B,Y,B,H,D,A,07,W,01,E,,,,,I,Y,N,D,1,0,0,0,23152.0,1,39.99575357,-120.95055294,2
2011,2011-03-10,1820,3,1,18,4,N,B,Y,B,H,D,A,01,W,04,C,,,,,C,N,N,D,1,0,0,0,21703.0,2,40.03127984,-121.0192428,4
2011,2011-03-14,715,3,1,7,1,N,A,Y,C,H,A,A,07,E,03,E,,,,,I,Y,N,D,3,0,0,0,22350.0,1,39.89651268,-120.7875745,3
2011,2011-05-16,1820,5,1,18,1,N,B,Y,B,H,B,E,22,W,01,E,,,,,I,Y,N,D,1,0,0,0,23152.0,1,40.02191823,-121.1063855,4
2011,2011-04-27,810,4,1,8,3,N,A,Y,A,H,A,D,22,E,08,E,,,,,I,Y,N,D,1,0,0,0,22107.0,1,40.02278035,-120.96267413,3
2011,2011-04-24,1950,4,1,19,7,Y,B,Y,A,H,B,A,07,,08,E,,,,,I,Y,N,D,5,0,0,0,22107.0,1,40.13405494,-120.91892202,2
2011,2011-04-21,1035,4,1,10,4,N,B,N,A,H,A,A,07,W,08,E,,,,,I,N,N,D,1,0,0,0,22107.0,1,39.7961503,-120.4773885,3
2011,2011-05-03,1230,5,1,12,2,N,A,N,A,H,A,L,04,S,08,E,,Y,,,I,N,N,D,1,0,1,0,22107.0,1,40.14156109,-120.94879983,4
2011,2011-05-08,640,5,1,6,7,N,B,Y,B,H,A,A,01,S,08,E,,,,,I,Y,N,D,1,0,0,0,22107.0,1,40.17563126,-121.02396565,3
2011,2011-05-17,1851,5,1,18,2,N,D,Y,C,H,B,D,22,W,05,E,,,,,I,Y,N,D,0,0,0,0,21650.0,1,40.31448412,-121.07646815,1
2011,2011-06-17,1455,6,2,14,5,N,A,Y,A,H,A,A,01,E,17,F,,,,,A,Y,N,D,1,0,0,0,21662.0,1,39.98096338,-121.28027263,1
2011,2011-05-19,1225,5,1,12,4,N,A,N,A,H,A,L,04,N,08,B,,Y,,,G,N,N,D,1,0,1,0,22107.0,2,40.30832308,-121.22751528,4
2011,2011-05-25,1232,5,1,12,3,N,B,Y,C,H,A,D,22,W,03,E,,,,,I,Y,N,D,1,0,0,0,22350.0,1,40.2613812,-121.31799304,2
2011,2011-06-02,2130,6,2,21,4,N,B,Y,A,D,D,C,02,W,08,F,,,Y,,A,Y,N,A,1,0,0,1,22107.0,1,39.81589083,-120.32691914,4
2011,2011-06-15,1730,6,2,17,3,N,A,Y,A,H,A,A,01,N,05,E,,,,,I,Y,N,D,1,0,0,0,21650.0,1,40.18452486,-121.10175833,3
2011,2011-06-18,1730,6,2,17,6,N,B,N,A,H,A,A,01,W,03,F,,,,,A,Y,N,D,2,0,0,0,22350.0,1,,,3
2011,2011-06-25,1145,6,2,11,6,N,A,N,A,A,A,C,02,E,03,F,,,Y,,A,N,N,D,1,0,0,1,38305.0,1,39.89856735,-120.14741557,2
2011,2011-06-14,1415,6,2,14,2,N,A,Y,A,H,A,A,07,N,01,E,,,,,I,N,N,D,1,0,0,0,23152.0,1,40.17286692,-120.97604347,4
2011,2011-06-17,1645,6,2,16,5,N,A,Y,A,H,A,C,02,N,08,F,,,Y,,A,Y,N,D,1,0,0,1,22107.0,1,40.17550065,-121.00271733,2
